Date,Curve,Room,Povanance,Replicate,Unit,Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
16/02/2016,1,4,A,1,HIE2,Remark=,"""09:35:01 A-R4-01""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2016,1,4,A,1,HIE2,Remark=,"""09:36:19 Launched AutoProg /User/Configs/AutoProgs/A-CiCurve""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2016,1,4,A,1,HIE2,Remark=,"""09:37:18 Launched AutoProg /User/Configs/AutoProgs/A-CiCurve""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2016,1,4,A,1,HIE2,Remark=,"""10:15:52 A-R4-01""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2016,1,4,A,1,HIE2,1,10:18:58,2834,0,14.1735647,0.417013363,304.3043356,2.906235853,0.788272424,20.03643417,6,1.420000017,1,2.840000033,21.08112335,20.03643417,22.12158394,400.2399597,369.753418,9.825271606,15.54555225,39.39835739,62.33611298,300.0961304,1500.266357,67.0375061,100.5844193,-0.420615673,-0.278329313,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500160217,0.002906236,293.1864342,294.2311234,240.0426118,1.470324079,2.351912769,23.382476,7.836923748,20.55877876,2.429053735,0.363620845,1.563640345,0.86541339,0.231524256,30.60827488,0.822992624,70.19491345,363.0159841,0.027406841
16/02/2016,1,4,A,1,HIE2,2,10:21:18,2974,0,11.54582655,0.418518205,202.754576,2.95719999,0.799557607,20.09570313,6,1.420000017,1,2.840000033,21.10681152,20.09570313,22.12117386,279.9780579,255.3805237,9.697731972,15.51926994,38.82569122,62.13271332,300.0553894,1500.226196,95.99159241,100.584549,1.98181963,-0.322333753,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500092316,0.0029572,293.2457031,294.2568115,240.036186,1.439014133,2.360556374,23.46837957,7.949109631,20.60125732,2.435423404,0.364764481,1.560998767,0.874424637,0.232266128,20.39397758,0.793931241,69.8919077,249.8921907,0.032292319
16/02/2016,1,4,A,1,HIE2,3,10:23:38,3113.5,0,5.100926037,0.421604455,106.1951814,2.994685949,0.804553263,20.09900475,6,1.420000017,1,2.840000033,21.11742592,20.09900475,22.12000465,140.4985199,129.5237122,9.579032898,15.47421455,38.32593918,61.91270065,300.0768127,1499.834595,97.83004761,100.5857468,3.561424732,-0.395736158,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500128021,0.002994686,293.2490047,294.2674259,239.9735298,1.419508446,2.36103869,23.47289517,7.99868062,20.60821533,2.436468152,0.36710664,1.556485427,0.879982726,0.23378575,10.68172162,0.819889884,69.73926762,127.0989762,0.027988805
16/02/2016,1,4,A,1,HIE2,4,10:25:58,3254,0,1.705266417,0.427631001,67.72962567,3.062675279,0.812798266,20.12653351,6,1.420000017,1,2.840000033,21.12867737,20.12653351,22.12145805,79.73532104,75.86135101,9.401959419,15.43086052,37.59489059,61.70219421,300.0960388,1499.608154,99.71932983,100.5948639,3.961296558,-0.458039701,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500160065,0.003062675,293.2765335,294.2786774,239.9372993,1.381175235,2.365063579,23.51077866,8.07991814,20.62760544,2.439381657,0.371667439,1.552265314,0.887116344,0.236745906,6.813252476,0.892808061,69.53755499,75.05074903,0.015799983
16/02/2016,1,4,A,1,HIE2,5,10:28:18,3393.5,0,4.07010982,0.447031868,92.73398962,3.175052063,0.810835092,20.13596725,6,1.420000017,1,2.840000033,21.13686752,20.13596725,22.11892319,119.4158096,110.575882,9.213630676,15.46379852,36.82403946,61.80403137,300.0834961,1499.44812,99.04438019,100.5968323,3.807823658,-0.423155248,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.50013916,0.003175052,293.2859673,294.2868675,239.9116939,1.321605336,2.366444238,23.5240433,8.060244778,20.63641739,2.440706726,0.386236142,1.555609146,0.885097579,0.246210965,9.3287456,0.838645715,69.80740815,108.6411467,0.026152505
16/02/2016,1,4,A,1,HIE2,6,10:30:38,3533.5,0,7.399220264,0.459062566,133.0304182,3.25784853,0.813101581,20.15284348,6,1.420000017,1,2.840000033,21.15218925,20.15284348,22.12077904,180.1773682,164.3105011,9.05232048,15.46636581,36.14408493,61.7540741,300.0410461,1498.893921,99.76452637,100.593399,3.288719654,-0.450375021,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.50006841,0.003257849,293.3028435,294.3021893,239.823022,1.276797008,2.36891589,23.54941688,8.083051066,20.65251637,2.443129185,0.395184287,1.555814308,0.887314876,0.252031496,13.38198194,0.809628218,69.86446882,160.7932662,0.032149518
16/02/2016,1,4,A,1,HIE2,7,10:33:04,3679.5,0,12.67092002,0.481753744,261.1345368,3.368746327,0.806655534,20.17056656,6,1.420000017,1,2.840000033,21.16861343,20.17056656,22.12252235,340.4541626,313.0079041,8.924393654,15.55599785,35.59803009,62.05047607,300.0488586,1498.659302,99.65576935,100.5951843,1.04784441,-0.38733238,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500081431,0.003368746,293.3205666,294.3186134,239.7854829,1.21785624,2.371514005,23.57482638,8.018828528,20.66959,2.445700604,0.411885028,1.564858471,0.880842133,0.26290929,26.26887686,0.834274577,70.33839088,306.9847555,0.029032456
16/02/2016,1,4,A,1,HIE2,8,10:35:24,3819.5,0,13.29578168,0.528270074,359.1392534,3.566929465,0.789605822,20.26750374,6,1.420000017,1,2.840000033,21.20879364,20.26750374,22.13804626,440.1602478,410.6430969,8.8478899,15.8676281,35.20498276,63.13591003,300.0394592,1499.182495,98.78712463,100.5924072,-1.235206127,-0.161977232,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500065765,0.003566929,293.4175037,294.3587936,239.8691939,1.107184042,2.38576873,23.71718498,7.849556881,20.73814869,2.456049953,0.445417671,1.596162907,0.859887046,0.28480712,36.12668203,0.874577598,71.53079291,404.3229191,0.023522233
16/02/2016,1,4,A,1,HIE2,Remark=,"""10:37:55 Warning! Large Deltas in match: CO2=3.1, H2O=-1.00""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2016,1,4,A,1,HIE2,9,10:38:13,3988.5,0,14.95456654,0.904726011,476.7820544,4.774967943,0.684687949,21.33313179,6,1.420000017,1,2.840000033,21.73258781,21.33313179,22.13187218,550.602478,515.7770386,9.147788048,18.51836395,35.24924469,71.35696411,300.0803833,1499.562378,97.02271271,100.5921173,-4.368262768,0.839434206,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500133972,0.004774968,294.4831318,294.8825878,239.9299751,0.401924627,2.547489388,25.32494053,6.806576573,21.5328598,2.578845608,0.686144159,1.862801439,0.716044168,0.444269585,47.96051634,0.924395657,79.15965282,508.6683539,0.023272497
16/02/2016,1,4,A,1,HIE2,Remark=,"""10:40:33 Warning! Large Deltas in match: CO2=1.0, H2O=1.05""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/02/2016,1,4,A,1,HIE2,10,10:40:51,4146.5,0,16.39881593,0.761184633,562.5332161,4.728873092,0.774508589,22.03645897,6,1.420000017,1,2.840000033,22.07574463,22.03645897,22.10867882,650.6694336,612.0916748,9.460131645,18.73851776,35.6964798,70.70716858,300.0690613,1500.031738,91.9352417,100.5898209,-5.369727612,-0.2103495,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500115102,0.004728873,295.186459,295.2257446,240.0050728,0.379405629,2.659412734,26.43818939,7.699671624,22.0561018,2.662599391,0.600292566,1.884904145,0.777695246,0.386939837,56.58511544,0.919034255,76.50172739,604.2964631,0.020760303
16/02/2016,1,4,A,1,HIE2,11,10:43:20,4295.5,0,15.74706969,0.643030167,705.3235036,4.316750259,0.809927289,21.78189278,6,1.420000017,1,2.840000033,21.94099045,21.78189278,22.11318779,799.5714722,761.5068359,9.501819611,17.97921181,36.14888382,68.40041351,300.031311,1500.030151,91.46273804,100.5877304,-9.703163147,-0.454688489,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500052185,0.00431675,294.9318928,295.0909904,240.0048189,0.611548189,2.618415399,26.03116094,8.051949133,21.86144161,2.63116672,0.524315206,1.80848811,0.82267861,0.336630795,70.94689043,0.926220843,74.21114628,754.0214332,0.015498341
