Date,Curve,Povanance,Room,Replicate,Unit,Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2Sfc,AHs/Cs
24/02/2016,105,A,4,4,UWS4,Remark=,"""10:44:23 A-R4-04""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/02/2016,105,A,4,4,UWS4,Remark=,"""11:03:03 Launched AutoProg /User/Configs/AutoProgs/A-CiCurve""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/02/2016,105,A,4,4,UWS4,1,11:05:41,2629.5,0,12.51742956,0.499382869,311.8055194,8.07919302,1.825811214,36.21141434,6,1.420000017,1,2.840000033,35.34841156,36.21141434,34.90970993,399.0960083,368.0734558,26.16180229,41.66701889,45.93505859,73.15921783,299.6110535,1500.052368,1120.16626,101.1040421,4.66164732,1.071017742,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.499351756,0.008079193,309.3614143,308.4984116,240.0083735,-0.031603035,6.038515244,59.72575499,18.0587361,35.77991295,5.896945618,0.424703428,4.21270403,1.684241588,0.271271123,31.52479835,0.847128513,72.9122648,362.1232693,0.02520341
24/02/2016,105,A,4,4,UWS4,Remark=,"""11:07:43 Warning! Large Deltas in match: CO2=1.3, H2O=3.07""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/02/2016,105,A,4,4,UWS4,2,11:08:01,2769.5,0,8.445505272,0.311629642,204.3748626,5.960455713,2.04497299,35.42378235,6,1.420000017,1,2.840000033,37.11265945,35.42378235,38.07842636,279.5899963,259.5767822,25.46842957,36.96466446,40.59088135,58.91326904,299.5830994,1500.586914,1102.933594,101.1049881,3.334132671,-2.002018452,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.499305166,0.005960456,308.5737823,310.2626595,240.0939009,-0.000301737,5.78228495,57.1908969,20.22623244,36.2682209,6.057370799,0.280816049,3.73731196,2.320058839,0.178040673,20.66331806,0.787338763,66.55634021,255.5621935,0.021994721
24/02/2016,105,A,4,4,UWS4,3,11:10:23,2912,0,3.192749498,0.267937371,107.686559,5.14212667,2.029467322,34.47185516,6,1.420000017,1,2.840000033,36.93970871,34.47185516,38.07842636,140.0315094,132.2741547,24.23374176,34.18123245,38.98818588,54.99209976,299.5546875,1501.439697,1094.520874,101.1020126,2.806285381,-2.770729542,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.499257813,0.005142127,307.6218552,310.0897087,240.2303462,0.011373728,5.485258717,54.25469359,20.07346114,35.70578194,5.872916782,0.24483831,3.455791395,2.417125387,0.154944133,10.88732785,0.814116403,64.626978,130.7564745,0.015780309
24/02/2016,105,A,4,4,UWS4,Remark=,"""11:12:25 Warning! Large Deltas in match: CO2=0.4, H2O=-3.88""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/02/2016,105,A,4,4,UWS4,4,11:12:44,3053,0,0.625495687,0.578955736,73.68612468,8.050377983,1.612723491,34.72430038,6,1.420000017,1,2.840000033,37.08252716,34.72430038,38.08283615,80.19934845,77.69437408,23.5803318,39.07084656,37.6408844,62.36812592,299.6353455,1498.648682,1082.797607,101.0979462,2.365245342,1.109511852,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.499392242,0.008050378,307.8743004,310.2325272,239.7837837,-0.021573659,5.562705833,55.02293611,15.95208955,35.90341377,5.937166889,0.480917105,3.949982342,1.987184547,0.308072348,7.449515866,0.948410043,74.72872526,77.39704339,0.006039313
24/02/2016,105,A,4,4,UWS4,Remark=,"""11:15:01 Warning! Large Deltas in match: CO2=0.1, H2O=-3.50""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/02/2016,105,A,4,4,UWS4,5,11:15:20,3209,0,1.926942765,1.174271182,98.8730329,11.11245646,1.28316498,35.497509,6,1.420000017,1,2.840000033,37.41364288,35.497509,38.09013367,110.6984787,104.5130234,23.47681808,44.73760986,36.80411911,70.13421631,299.5743103,1499.577271,606.3725586,101.0938416,2.219195843,4.607852459,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.499290517,0.011112456,308.647509,310.5636429,239.9323579,-0.056544628,5.805861823,57.43042043,12.69281056,36.45557594,6.11992167,0.83076853,4.522696843,1.597224827,0.542022566,9.995454721,0.946035525,83.52218305,103.5970471,0.01553543
24/02/2016,105,A,4,4,UWS4,Remark=,"""11:17:39 Warning! Large Deltas in match: CO2=-1.5, H2O=3.24""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/02/2016,105,A,4,4,UWS4,6,11:17:57,3365.5,0,4.684980784,0.694876157,150.9883584,10.05525139,1.725224899,36.58982849,6,1.420000017,1,2.840000033,36.13747406,36.58982849,35.03138351,181.282486,168.5093842,24.67150497,43.92034531,41.46984863,73.82485199,299.6633911,1498.756836,927.7632446,101.0889816,3.712787151,1.365314007,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.499438985,0.010055251,309.7398285,309.2874741,239.8010884,-0.051760992,6.165087879,60.98674434,17.06639904,36.36365128,6.089161708,0.55827933,4.43986298,1.649298728,0.359071207,15.26325939,0.896023442,76.27260433,166.2823687,0.021489692
24/02/2016,105,A,4,4,UWS4,7,11:20:22,3510.5,0,10.28503756,0.644125562,275.8165959,9.495229309,1.731883305,36.6606636,6,1.420000017,1,2.840000033,35.04200363,36.6606636,33.95051575,341.2198486,314.64151,25.91586304,44.0916214,46.27365112,78.7270813,299.6266479,1499.369995,605.7769775,101.0884094,6.235705853,1.309817791,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.499377747,0.009495229,309.8106636,308.1920036,239.8991939,-0.049246275,6.189035181,61.22398419,17.13236279,35.85133362,5.920176661,0.525043247,4.457151876,1.463024785,0.337110987,27.88186098,0.876605874,75.92239225,309.7524957,0.02520931
24/02/2016,105,A,4,4,UWS4,8,11:22:43,3652,0,13.68678966,0.621958333,354.5527561,8.758307295,1.645674931,36.23098373,6,1.420000017,1,2.840000033,34.77750015,36.23098373,33.93878174,441.0848083,406.5466614,26.74278259,43.51811218,48.45685959,78.85308075,299.6243591,1500.566406,1163.659546,101.0919342,6.740863323,1.402270794,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.499373932,0.008758307,309.3809837,307.9275002,240.0906196,-0.040861441,6.045005065,59.7971056,16.27899341,35.50424194,5.808019091,0.510220372,4.399330133,1.408688957,0.327341462,35.84242389,0.872108394,76.45066082,400.0406171,0.026156447
24/02/2016,105,A,4,4,UWS4,Remark=,"""11:25:17 Warning! Large Deltas in match: CO2=3.3, H2O=3.59""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/02/2016,105,A,4,4,UWS4,9,11:25:35,3823.5,0,17.00401091,0.325640501,403.2837802,5.972872014,1.968490636,35.46800232,6,1.420000017,1,2.840000033,37.0584259,35.46800232,38.11407471,549.8897705,509.7465515,26.35835457,37.8649292,42.12919617,60.52043533,299.6570129,1500.619019,1142.896973,101.0942154,3.414447308,-2.190289021,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.499428355,0.005972872,308.6180023,310.2084259,240.0990376,-0.000752904,5.796415944,57.33677166,19.47184246,36.26321411,6.055706865,0.292142782,3.827925308,2.227781556,0.185329739,40.76965734,0.791145676,68.0101975,501.6636591,0.023052221
24/02/2016,105,A,4,4,UWS4,Remark=,"""11:27:42 Warning! Large Deltas in match: CO2=4.2, H2O=-4.11""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/02/2016,105,A,4,4,UWS4,10,11:28:01,3970,0,19.52731686,0.578580416,522.8944098,8.211243149,1.640818128,35.67726517,6,1.420000017,1,2.840000033,37.32214737,35.67726517,38.08387756,650.3009644,601.3051758,26.01519394,41.77296448,40.98603439,65.8118515,299.5944824,1498.594482,1170.999878,101.0911713,-0.808392048,1.923705578,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.499324137,0.008211243,308.8272652,310.4721474,239.7751118,-0.025328532,5.863696035,58.00403696,16.23107248,36.49970627,6.134736502,0.480658105,4.222877906,1.911858595,0.307902297,52.86000833,0.86959905,75.53264841,592.0228246,0.024913735
24/02/2016,105,A,4,4,UWS4,Remark=,"""11:30:14 Warning! Large Deltas in match: CO2=-0.1, H2O=-1.47""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/02/2016,105,A,4,4,UWS4,11,11:30:32,4120.5,0,21.51508342,0.69115431,664.7913734,9.005964057,1.554155876,35.91208267,6,1.420000017,1,2.840000033,36.09873199,35.91208267,36.12725449,799.1885986,742.7063599,26.1323204,43.38554764,44.01931381,73.0819931,299.6043091,1499.354492,1183.151733,101.0899582,-0.751629353,3.392215252,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.499340515,0.009005964,309.0620827,309.248732,239.8967134,-0.038614187,5.939999073,58.75953635,15.37398871,36.00540733,5.970563223,0.555874389,4.385843197,1.584720027,0.357479628,67.20373214,0.895093148,77.82432599,732.4791196,0.022859312
24/02/2016,105,A,4,4,UWS4,Remark=,"""11:32:39 Warning! Large Deltas in match: CO2=-1.8, H2O=2.43""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
