Prov,Pot,Code,Height,D1,D2,Leafarea,Leafno,Leafmass,Stemmass,Rootmass
A,91,A-91,120,0.93,0.94,23.69,10,0.075,0.026,0.034
A,92,A-92,166,1.02,1.03,42.397,10,0.148,0.049,0.072
A,93,A-93,118,0.88,0.9,18.189,10,0.042,0.017,0.023
A,94,A-94,114,0.89,0.86,22.943,10,0.055,0.017,0.057
A,95,A-95,162,1.01,0.95,29.135,10,0.078,0.028,0.074
A,96,A-96,132,0.96,0.97,27.114,10,0.07,0.021,0.061
A,97,A-97,143,1.11,1.05,43.462,10,0.115,0.036,0.065
A,98,A-98,114,0.76,0.65,20.382,10,0.044,0.015,0.027
A,99,A-99,163,1.1,1.08,39.939,10,0.093,0.04,0.04
A,100,A-100,131,0.81,0.8,20.732,10,0.038,0.018,0.056
B,91,B-91,124,0.87,0.93,16.877,8,0.036,0.015,0.038
B,92,B-92,125,0.98,0.97,15.907,10,0.035,0.014,0.045
B,93,B-93,150,1.1,1.05,25.341,8,0.071,0.03,0.06
B,94,B-94,138,1.33,1.43,27.668,10,0.069,0.025,0.034
B,95,B-95,151,1.09,1.1,27.523,10,0.074,0.037,0.078
B,96,B-96,113,0.92,0.92,17.692,12,0.036,0.015,0.036
B,97,B-97,160,1.13,1.18,38.562,10,0.1,0.045,0.062
B,98,B-98,132,0.94,0.94,16.584,8,0.044,0.024,0.078
B,99,B-99,125,0.89,0.93,19.179,10,0.042,0.018,0.028
B,100,B-100,137,1.11,1.03,30.033,10,0.071,0.025,0.032
C,91,C-91,128,0.82,0.86,16.019,10,0.043,0.02,0.047
C,92,C-92,124,0.94,0.87,17.997,10,0.057,0.018,0.048
C,93,C-93,99,0.81,0.91,10.399,8,0.041,0.017,0.054
C,94,C-94,95,0.9,0.82,15.869,8,0.031,0.012,0.014
C,95,C-95,106,0.84,0.8,13.52,10,0.034,0.013,0.03
C,96,C-96,117,0.97,0.94,42.641,10,0.105,0.025,0.044
C,97,C-97,140,0.84,1.02,16.608,10,0.05,0.022,0.054
C,98,C-98,136,0.99,0.96,28.883,8,0.082,0.033,0.049
C,99,C-99,119,1.11,0.98,24.984,10,0.071,0.025,0.045
C,100,C-100,132,0.9,0.99,23.995,12,0.067,0.026,0.076
