Prov,Pot,W_treatment,Code,Height,D1,D2,Leafarea,Leafno,Leafmass,Stemmass,Rootmass
A,78,w,A-78,31,2.13,2.2,145.07,14,0.569,0.306,0.184
C,82,w,C-82,29,1.92,1.91,102.33,20,0.366,0.203,0.183
B,78,w,B-78,29.5,1.8,1.78,122.6,16,0.461,0.196,0.134
A,70,w,A-70,37.5,2.04,2.08,200.1,16,0.797,0.326,0.237
C,71,w,C-71,22,2.1,2.1,92.8,12,0.68,0.197,0.13
B,65,w,B-65,31.5,1.75,1.81,111.5,16,0.421,0.189,0.101
A,48,w,A-48,27,2.46,2.44,216.9,18,0.771,0.246,0.268
C,56,w,C-56,25.5,2.08,1.88,119.6,17,0.52,0.17,0.181
B,50,w,B-50,20.5,2.2,2.27,120.5,12,0.437,0.14,0.199
A,32,w,A-32,20,1.91,1.95,149.9,14,0.55,0.136,0.266
C,34,w,C-34,20,1.89,1.75,101,12,0.363,0.109,0.169
B,31,w,B-31,23,1.62,1.65,115.3,14,0.449,0.127,0.247
A,30,w,A-30,16.5,1.55,1.63,59.3,12,0.271,0.069,0.125
C,21,w,C-21,15,1.53,1.56,48.7,10,0.232,0.057,0.171
B,25,w,B-25,16,1.59,1.62,81.9,16,0.31,0.091,0.176
A,8,w,A-08,15,1.19,1.17,35.4,10,0.224,0.05,0.128
C,4,w,C-04,12.5,1.21,1.28,26.9,10,0.165,0.036,0.128
B,13,w,B-13,14,1.65,1.72,59.6,10,0.312,0.071,0.186
B,83,d,B-83,27.5,1.84,1.91,87.2,14,0.399,0.182,0.126
B,75,d,B-75,32,1.97,2.11,193.9,16,0.826,0.265,0.224
B,57,d,B-57,21,1.64,1.76,95.3,12,0.405,0.125,0.14
B,43,d,B-43,16.5,1.58,1.64,76.8,14,0.297,0.09,0.12
B,22,d,B-22,17,1.68,1.69,86.7,16,0.341,0.089,0.231
B,6,d,B-06,10,1.04,1.02,27.5,10,0.108,0.029,0.065
