Date,Prov,Pot,W_treatment,Code,Room,Height,D1,D2,Leafno,Leafarea,Leafarea_sub,Leafmass,Leafmass_sub,Stemmass,Stemmass_sub,Rootmass,Rootmass_sub
17/02/2016,A,1,w,A-01,1,31.5,3.75,3.93,20,260.49,150.35,562.3,804.1,549,517,,1004.4
17/02/2016,A,24,w,A-24,2,41.5,4.32,4.43,21,637.51,124.02,2592.9,616.2,736,654,341,833.2
17/02/2016,A,42,w,A-42,3,60.7,5.27,4.91,28,811.4,100.3,2983.6,422.5,2347,2209,234.7,947.7
17/02/2016,A,53,w,A-53,4,68,7.56,7.44,33,998.37,100.8000031,4671.5,572.4,3240,3076,1500.9,1424.27
17/02/2016,A,63,w,A-63,5,75.5,4.1,4.15,59,845.5,118.9,3609.4,531,2551,2448.7,434.1,997.4
17/02/2016,A,77,w,A-77,6,56.5,4.56,4.47,81,773.67,59.39,3766.2,329.1,2800.8,2488,,1480.1
17/02/2016,B,11,d,B-11,1,32.5,4.11,4.24,17,364.77,191.14,1356.5,1511.8,753,699,474.2,1533.9
17/02/2016,B,29,d,B-29,2,39,4.47,3.65,23,361.85,84.14,1440.7,426.6,782,696,,974.1
17/02/2016,B,35,d,B-35,3,46,4.03,3.88,33,575.3,117.7,2937.6,829.7,1319,1241,,1284.4
17/02/2016,B,48,d,B-48,4,47,3.17,3.18,17,416.75,128.91,1939.2,1024.2,1145,1103,68.4,821.4
17/02/2016,B,68,d,B-68,5,49.5,3.1,3.14,13,342.21,119.21,1471.8,1027.2,846.7,846.7,,667
17/02/2016,B,76,d,B-76,6,33.5,2.82,2.66,26,384.61,61.58,1125.2,377.4,796.2,756.9,,448.6
17/02/2016,B,11,w,B-11,1,25.5,4.22,3.89,12,180.1,128.01,253.3,730.2,414.5,373.8,,679.8
17/02/2016,B,16,w,B-16,2,52,4.92,4.37,26,757.66,108.31,3614.2,563.5,1600,1444,482.8,1046.4
17/02/2016,B,39,w,B-39,3,60.5,4.98,5.29,16,845.1,114.8,4124.8,647.1,1990,1900,236,1638.2
17/02/2016,B,46,w,B-46,4,71.5,5.89,6.08,34,1142.1,128.9100037,4849.8,460.8,3187.2,2919.7,385.3,1415.3
17/02/2016,B,67,w,B-67,5,63.5,4.41,4.47,57,653.1,138.9,3708.8,808.7,2316.2,2193.9,,1198.3
17/02/2016,B,89,w,B-89,6,51.5,3.24,3.15,28,293.8,57.2,1328.3,328.8,1436.7,1309.8,,339.04
17/02/2016,C,3,w,C-03,1,28,3.12,3.08,16,234.38,153.22,465.1,871.7,385.2,364.5,,666.8
17/02/2016,C,17,w,C-17,2,40,4.72,4.97,29,632.39,97.58,2297.5,366.2,1084,967.8,348.1,753.2
17/02/2016,C,36,w,C-36,3,65.2,4.69,4.84,24,743.5,128.5,2806.4,623.1,2060,1985,236.2,1323.2
17/02/2016,C,58,w,C-58,4,69,5.5,5.68,43,1100.04,115.41,4619.2,453.3,3035.8,2929.5,336.9,1119.45
17/02/2016,C,61,w,C-61,5,61.5,4.4,3.86,71,792.33,110.19,3677.7,587.7,2348.7,2161.9,592.6,868.3
17/02/2016,C,88,w,C-88,6,63,3.66,3.66,16,379.8,133.9,1542.8,922.6,1486,1384.3,,790.5
18/02/2016,A,3,w,A-03,1,36.4,3.78,3.92,29,304.1,94.24,980.9,527.8,702.8,656.8,681.9,
18/02/2016,A,16,w,A-16,2,47.5,5.21,5.08,31,920,103,3471.8,431.9,1519.5,1456.9,562.3,1415.9
18/02/2016,A,45,w,A-45,3,62.5,5.31,5.52,69,985.8,96.68,4330.1,539.3,2323.9,2215.9,419.2,1248.3
18/02/2016,A,57,w,A-57,4,69.5,5.68,5.75,78,1328.4,97,6391.5,544.5,4160.9,3910,577.1,1622.1
18/02/2016,A,65,w,A-65,5,79.8,6.25,5.76,34,857.9,111.77,3534.5,584,3608.6,3519.9,,1406.6
18/02/2016,A,88,w,A-88,6,56.5,3.96,3.87,71,577.7,65.48,2565.6,336.5,2525.3,2411.4,711.2,
18/02/2016,B,5,d,B-05,1,32.1,3.1,3.42,18,265.4,88.31,873.5,577.6,520.3,422.9,582.4,
