Date,Room,Prov,Pot,W_treatment,Code,Height,D1,D2,Comment
8/01/2016,1,A,1,w,A-01,12.5,0.77,0.96,
8/01/2016,1,A,2,w,A-02,13.5,0.98,1.01,
8/01/2016,1,A,3,w,A-03,15.2,0.9,0.91,
8/01/2016,1,A,4,w,A-04,15.5,0.98,1.05,
8/01/2016,1,A,5,w,A-05,10.4,0.95,0.98,
8/01/2016,1,A,6,w,A-06,15.4,0.94,0.95,
8/01/2016,1,A,7,w,A-07,10.6,0.75,0.73,
8/01/2016,1,A,8,w,A-08,12.2,0.64,0.58,
8/01/2016,1,A,9,w,A-09,16.3,1.08,1.07,
8/01/2016,1,A,10,w,A-10,17.6,1.05,1.09,
8/01/2016,1,A,11,w,A-11,14.2,0.96,0.95,
8/01/2016,1,A,12,w,A-12,14,0.99,0.89,
8/01/2016,1,A,13,w,A-13,18,1.04,1.1,
8/01/2016,1,A,14,w,A-14,16.8,1.03,1.09,
8/01/2016,1,A,15,w,A-15,12.7,0.97,1.04,
8/01/2016,1,B,1,w,B-01,12,0.82,0.9,
8/01/2016,1,B,2,w,B-02,11.8,0.79,0.78,
8/01/2016,1,B,3,w,B-03,11.8,0.74,0.85,
8/01/2016,1,B,4,w,B-04,17.3,0.99,0.97,
8/01/2016,1,B,5,w,B-05,11.8,0.88,0.71,
8/01/2016,1,B,6,w,B-06,13.1,0.95,0.99,
8/01/2016,1,B,7,w,B-07,11.8,0.9,0.87,
8/01/2016,1,B,8,w,B-08,12.5,1.01,1.04,
8/01/2016,1,B,9,w,B-09,15.2,1.32,1.38,
8/01/2016,1,B,10,w,B-10,13,0.89,0.91,
8/01/2016,1,B,11,w,B-11,14.3,1.22,1.14,
8/01/2016,1,B,12,w,B-12,14.2,0.82,0.88,
8/01/2016,1,B,13,w,B-13,11,0.98,0.89,
8/01/2016,1,B,14,w,B-14,14.3,1.1,1.03,
8/01/2016,1,B,15,w,B-15,12.7,0.83,0.79,
8/01/2016,1,B,1,d,B-01,12.8,0.8,0.83,
8/01/2016,1,B,2,d,B-02,13.2,0.73,0.7,
8/01/2016,1,B,3,d,B-03,13.7,1.22,1.27,
8/01/2016,1,B,4,d,B-04,13,0.89,0.92,
8/01/2016,1,B,5,d,B-05,13,0.81,0.88,
8/01/2016,1,B,6,d,B-06,7.2,0.55,0.53,
8/01/2016,1,B,7,d,B-07,9.8,0.95,0.98,
8/01/2016,1,B,8,d,B-08,14,1.06,1.1,
8/01/2016,1,B,9,d,B-09,13,1.12,1.15,
8/01/2016,1,B,10,d,B-10,12.7,1.03,1.05,
8/01/2016,1,B,11,d,B-11,14.7,1.19,1.2,
8/01/2016,1,B,12,d,B-12,11.5,0.92,0.99,
8/01/2016,1,B,13,d,B-13,15.4,0.83,0.88,
8/01/2016,1,B,14,d,B-14,12,1.11,1.02,
8/01/2016,1,B,15,d,B-15,11.9,0.61,0.59,
8/01/2016,1,C,1,w,C-01,12.5,0.89,0.95,
8/01/2016,1,C,2,w,C-02,12.5,0.78,0.74,
8/01/2016,1,C,3,w,C-03,10.5,0.67,0.77,
8/01/2016,1,C,4,w,C-04,10,0.74,0.82,
8/01/2016,1,C,5,w,C-05,15.5,0.87,0.92,
8/01/2016,1,C,6,w,C-06,14.2,0.92,0.98,
8/01/2016,1,C,7,w,C-07,9.3,0.85,0.88,
8/01/2016,1,C,8,w,C-08,12.5,0.8,0.77,
8/01/2016,1,C,9,w,C-09,11.4,0.75,0.78,
8/01/2016,1,C,10,w,C-10,11.9,0.85,0.87,
8/01/2016,1,C,11,w,C-11,6,0.6,0.53,
8/01/2016,1,C,12,w,C-12,9,0.84,0.91,
8/01/2016,1,C,13,w,C-13,17.5,1.06,1.05,
8/01/2016,1,C,14,w,C-14,16.2,1.33,1.27,
8/01/2016,1,C,15,w,C-15,7.4,0.79,0.77,
8/01/2016,2,A,16,w,A-16,14.4,1.03,1,
8/01/2016,2,A,17,w,A-17,15.3,1.05,1.06,
8/01/2016,2,A,18,w,A-18,15,1.02,1.03,
8/01/2016,2,A,19,w,A-19,15.3,0.98,1.06,
