Room,Prov,W_treatment,Code,Punchno,Puncharea,Punchmass
1,A,w,A-01,2,1.58,4.99
1,A,w,A-02,4,3.16,9.69
1,A,w,A-03,3,2.37,6.43
1,A,w,A-04,4,3.16,11.8
1,A,w,A-05,4,3.16,8.23
1,A,w,A-06,4,3.16,9.92
1,A,w,A-07,3,2.37,9.19
1,A,w,A-08,2,1.58,7.12
1,A,w,A-09,4,3.16,12.86
1,A,w,A-10,4,3.16,7.28
1,A,w,A-11,3,2.37,8.86
1,A,w,A-12,4,3.16,11.41
1,A,w,A-13,5,3.95,16.39
1,A,w,A-14,4,3.16,11.68
1,A,w,A-15,4,3.16,11.65
1,B,w,B-01,4,3.16,8.21
1,B,w,B-02,4,3.16,9.59
1,B,w,B-03,3,2.37,5.71
1,B,w,B-04,4,3.16,13.46
1,B,w,B-05,4,3.16,7.7
1,B,w,B-06,4,3.16,12.01
1,B,w,B-07,3,2.37,6.27
1,B,w,B-08,3,2.37,5.23
1,B,w,B-09,4,3.16,10.08
1,B,w,B-10,2,1.58,5.27
1,B,w,B-11,4,3.16,6.65
1,B,w,B-12,4,3.16,8.74
1,B,w,B-13,2,1.58,4.77
1,B,w,B-14,4,3.16,7.88
1,B,w,B-15,2,1.58,4.41
1,B,d,B-01,2,1.58,4.04
1,B,d,B-02,2,1.58,5.56
1,B,d,B-03,3,2.37,6.54
1,B,d,B-04,4,3.16,11.21
1,B,d,B-05,2,1.58,4.71
1,B,d,B-06,2,1.58,4.33
1,B,d,B-07,3,2.37,7.08
1,B,d,B-08,4,3.16,7.25
1,B,d,B-09,4,3.16,11.55
1,B,d,B-10,3,2.37,6.14
1,B,d,B-11,4,3.16,11.01
1,B,d,B-12,4,3.16,9.39
1,B,d,B-13,3,2.37,7.68
1,B,d,B-14,4,3.16,8.81
1,B,d,B-15,4,3.16,8.14
1,C,w,C-01,4,3.16,8.24
1,C,w,C-02,4,3.16,11.82
1,C,w,C-03,4,3.16,8.46
1,C,w,C-04,2,1.58,5.81
1,C,w,C-05,3,2.37,5.95
1,C,w,C-06,2,1.58,5.16
1,C,w,C-07,4,3.16,8.71
1,C,w,C-08,3,2.37,8.28
1,C,w,C-09,3,2.37,6.68
1,C,w,C-10,4,3.16,14.21
1,C,w,C-11,3,2.37,8.61
1,C,w,C-12,4,3.16,9.74
1,C,w,C-13,3,2.37,7.63
1,C,w,C-14,3,2.37,8.92
1,C,w,C-15,4,3.16,12.18
2,A,w,A-16,4,3.16,5.96
2,A,w,A-17,4,3.16,7.86
2,A,w,A-18,4,3.16,7.92
2,A,w,A-19,4,3.16,9.15
2,A,w,A-20,4,3.16,7.43
2,A,w,A-21,4,3.16,8.24
2,A,w,A-22,4,3.16,7.75
2,A,w,A-23,4,3.16,7.35
2,A,w,A-24,4,3.16,5.98
2,A,w,A-25,4,3.16,7.76
2,A,w,A-26,2,1.58,4.01
2,A,w,A-27,3,2.37,8.12
2,A,w,A-28,4,3.16,7.03
2,A,w,A-29,4,3.16,9.38
2,A,w,A-30,4,3.16,10.74
2,B,w,B-16,3,2.37,5.49
2,B,w,B-17,4,3.16,7.61
2,B,w,B-18,4,3.16,7.1
2,B,w,B-19,4,3.16,7.86
2,B,w,B-20,4,3.16,8.61
2,B,w,B-21,4,3.16,8.64
2,B,w,B-22,4,3.16,8.35
2,B,w,B-23,4,3.16,8.81
2,B,w,B-24,4,3.16,6.89
2,B,w,B-25,4,3.16,7.94
2,B,w,B-26,4,3.16,8.13
2,B,w,B-27,4,3.16,8.12
2,B,w,B-28,4,3.16,8.2
2,B,w,B-29,4,3.16,7.52
2,B,w,B-30,4,3.16,
2,B,d,B-16,3,2.37,6.83
2,B,d,B-17,4,3.16,7.54
2,B,d,B-18,4,3.16,7.56
2,B,d,B-19,4,3.16,9.29
2,B,d,B-20,4,3.16,8.91
2,B,d,B-21,4,3.16,9.25
2,B,d,B-22,3,2.37,5.26
2,B,d,B-23,4,3.16,7.72
2,B,d,B-24,4,3.16,9.45
2,B,d,B-25,4,3.16,9.07
2,B,d,B-26,4,3.16,7.07
2,B,d,B-27,4,3.16,7.54
2,B,d,B-28,3,2.37,5.51
2,B,d,B-29,4,3.16,8.28
2,B,d,B-30,3,2.37,6.14
2,C,w,C-16,4,3.16,8.34
