Room,Prov,Code,W_treatment,Leafsize,Leafno,Leafarea
1,A,A-01,w,small,6,2.51
1,A,A-01,w,large,6,27.5
1,A,A-02,w,small,6,2.92
1,A,A-02,w,large,4,16.92
1,A,A-03,w,small,6,3.71
1,A,A-03,w,large,4,22.5
1,A,A-04,w,small,4,5.63
1,A,A-04,w,large,6,29.8
1,A,A-05,w,small,14,6.03
1,A,A-05,w,large,4,30.3
1,A,A-06,w,small,6,4.51
1,A,A-06,w,large,6,35.71
1,A,A-07,w,small,4,5
1,A,A-07,w,large,4,20.12
1,A,A-08,w,small,,
1,A,A-08,w,large,,
1,A,A-09,w,small,6,4.95
1,A,A-09,w,large,6,15.92
1,A,A-10,w,small,4,5.75
1,A,A-10,w,large,8,36.19
1,A,A-11,w,small,4,7.4
1,A,A-11,w,large,6,30.84
1,A,A-12,w,small,6,5.15
1,A,A-12,w,large,8,18.31
1,A,A-13,w,small,8,1.76
1,A,A-13,w,large,6,21.66
1,A,A-14,w,small,8,3.69
1,A,A-14,w,large,6,22.45
1,A,A-15,w,small,8,4.13
1,A,A-15,w,large,6,28.82
1,B,B-01,w,small,4,3.33
1,B,B-01,w,large,6,9.81
1,B,B-02,w,small,6,2.28
1,B,B-02,w,large,4,17.03
1,B,B-03,w,small,4,1.54
1,B,B-03,w,large,6,25.79
1,B,B-04,w,small,6,2.88
1,B,B-04,w,large,6,22.16
1,B,B-05,w,small,4,3.91
1,B,B-05,w,large,6,27.22
1,B,B-06,w,small,2,8.45
1,B,B-06,w,large,10,30.81
1,B,B-07,w,small,8,4.15
1,B,B-07,w,large,2,6.99
1,B,B-08,w,small,6,3.3
1,B,B-08,w,large,6,15.59
1,B,B-09,w,small,4,4.21
1,B,B-09,w,large,12,32.24
1,B,B-10,w,small,8,2.39
1,B,B-10,w,large,6,28.2
1,B,B-11,w,small,4,4.52
1,B,B-11,w,large,6,19.21
1,B,B-12,w,small,6,2.99
1,B,B-12,w,large,2,9.45
1,B,B-13,w,small,,
1,B,B-13,w,large,,
