sp,prov,seedlot,lat,long,meanT
g,A,19313,-32.333,152.25,21.9
g,B,13909,-30.1,153.083,22.3625
g,C,20678,-30.2028,153.003,22.3625
g,D,16900,-28.54,152.49,21.6625
g,E,18693,-26.167,152.983,24
g,F,18698,-26.36,152.52,24.6625
g,G,18699,-26.35,152.36,24.6625
g,H,16893,-25.33,152.16,24.9875
g,I,19307,-21.0431,148.3756,26.6375
g,J,20668,-16.58,145.4,26.63
t,A,17768,-36.49,149.45,19.5
t,B,15924,-38.03,147.01,17.775
t,C,17770,-35.4,150.07,17.625
t,D,18732,-29.1,152.58,21.1625
t,E,17762,-28.15,152.05,21.1375
t,F,20352,-26.57,152.01,22.9
t,G,20529,-23.4379,150.5258,26.4125
t,H,20527,-21.2807,149.086,26.1
t,I,20474,-19.483,146.0438,24.2375
t,J,20469,-16.733,145.333,26.625
t,K,20355,-17.15,145.867,27.225
t,L,18589,-15.5,145.14,27.81
