"code1","sp","prov","treat","num","ht","diam","secondary_branches","branch_length","leafFM","tenleafFM","tenleafarea","tenleafDM","leafDM","totalstemDM","rootDM","totalDM"
"gbh10","g","b","h",10,43.5,4.97,14,23,17.67,2.42,176.13,0.5,3.65082644628099,2.443178758,1.5905,7.68450520428099
"gbh4","g","b","h",4,79.5,7.52,17,31,28.84,2.09,150.09,0.52,7.1755023923445,4.93931206,3.9859,16.1007144523445
"gbh6","g","b","h",6,34,5.33,12,21,27.21,3.57,209.07,1.01,7.69806722689076,3.342613982,3.4191,14.4597812088908
"gbh8","g","b","h",8,42.5,5.92,16,25,34.28,2.78,183.34,0.825,10.1730215827338,5.546232558,7.0541,22.7733541407338
"gbr10","g","b","r",10,104,6.5,25,39.6,39.4,1.72,144.59,0.4,9.16279069767442,9.944282511,3.8245,22.9315732086744
"gbr2","g","b","r",2,76,7.63,21,33,53.72,2.24,150.36,0.613,14.7010535714286,9.423920125,14.5682,38.6931736964286
"gbr3","g","b","r",3,99.3,8.29,22,46,47.7,1.68,116.29,0.47,13.3446428571429,13.34333049,12.3292,39.0171733471429
"gbr5","g","b","r",5,81,7.2,19,28,39.79,2.49,175.39,0.72,11.5055421686747,8.74140326,9.2217,29.4686454286747
"gbr9","g","b","r",9,73.5,6.8,18,34,37.67,2.99,229.94,0.94,11.8427424749164,8.045674384,4.6436,24.5320168589164
"gbw10","g","b","w",10,88.5,6.12,20,41,41.45,2.41,199.59,0.56,9.63153526970954,7.106251277,3.9324,20.6701865467095
"gbw3","g","b","w",3,100,7.23,18,31,35.47,2.02,175.64,0.43,7.55054455445544,7.174127366,3.5931,18.3177719204554
"gbw4","g","b","w",4,114.5,7.37,21,43,41.53,2.66,214.91,0.6,9.36766917293233,9.871662315,4.2626,23.5019314879323
"gbw5","g","b","w",5,82.6,4.47,16,37,12.95,1.13,101.04,0.32,3.66725663716814,3.485527831,1.1853,8.33808446816814
"gbw9","g","b","w",9,98,8.01,22,45,42.08,1.99,146.53,0.49,10.3614070351759,11.58152403,7.5791,29.5220310651759
"gch1","g","c","h",1,62,7.18,15,34,42.16,3.53,221.27,0.98,11.7044759206799,7.869010825,6.1839,25.7573867456799
"gch4","g","c","h",4,57,9.2,20,36.5,47.56,2.09,135.26,0.52,11.8331100478469,8.6849152,8.5999,29.1179252478469
"gch6","g","c","h",6,59,4.34,14,29,21.87,2.49,192.77,0.63,5.5333734939759,3.127709978,1.7493,10.4103834719759
"gch8","g","c","h",8,53,7.55,15,30,40.85,1.97,138.38,0.54,11.197461928934,6.149649049,6.9399,24.287010977934
"gch9","g","c","h",9,65.5,7.06,14,39.5,41.16,2.38,164.12,0.71,12.2788235294118,7.09600674,6.0968,25.4716302694118
"gcr10","g","c","r",10,111.5,7.27,21,41,42.62,2.12,162.03,0.541,10.876141509434,11.4815044,9.9049,32.262545909434
"gcr2","g","c","r",2,122,9.05,27,45,50.07,2.51,200.18,0.564,11.2507888446215,11.41054325,7.9512,30.6125320946215
"gcr4","g","c","r",4,88,8.02,22,38.5,56.56,2.21,142.78,0.62,15.8675113122172,12.5854029,16.267,44.7199142122172
"gcr6","g","c","r",6,117,7.17,22,39,45.1,1.74,155.44,0.42,10.8862068965517,11.34904138,5.2471,27.4823482765517
"gcr8","g","c","r",8,89.5,8.27,18,40.5,46.26,2.33,150.27,0.61,12.1109871244635,13.49199824,11.3451,36.9480853644635
"gcw1","g","c","w",1,109.5,8.42,21,25.5,51.84,3.1,243.53,0.79,13.2108387096774,12.9146418,16.4421,42.5675805096774
"gcw3","g","c","w",3,111.5,6.33,21,52,44.57,2.31,176.91,0.55,10.6119047619048,10.85831453,7.2176,28.6878192919048
"gcw4","g","c","w",4,116.5,7.25,24,44,44.38,2.23,165.28,0.51,10.1496860986547,11.0227633,11.3111,32.4835493986547
"gcw5","g","c","w",5,69.5,8.8,16,36.5,48.45,2.12,151.69,0.588,13.4380188679245,10.04968304,12.4472,35.9349019079245
"gcw8","g","c","w",8,129,8.19,26,41,45.55,1.61,130.27,0.33,9.33633540372671,10.01912953,3.7548,23.1102649337267
"gdh1","g","d","h",1,54,7.4,15,37,42.96,2.92,197.21,0.75,11.0342465753425,8.429561573,8.1089,27.5727081483425
"gdh3","g","d","h",3,48,2.68,15,26,42.66,3.51,202.5,1.03,12.5184615384615,6.343693517,6.2308,25.0929550554615
"gdh6","g","d","h",6,77.5,8.13,14,40,42.49,3.47,235.67,0.85,10.4082132564841,8.975212086,8.6297,28.0131253424842
"gdh7","g","d","h",7,49.5,4.67,13,34.5,24.04,2.13,133.99,0.52,5.86892018779343,3.707142857,1.7492,11.3252630447934
"gdh9","g","d","h",9,51,6.86,15,34.5,36.81,2.51,188.79,0.59,8.65254980079681,5.183385366,8.6287,22.4646351667968
"gdw10","g","d","w",10,100.5,9.56,24,36.5,47.42,2.22,138.38,0.63,13.457027027027,14.48915452,7.5893,35.535481547027
"gdw2","g","d","w",2,108,7.65,20,46,49.14,2.83,218.91,0.67,11.633851590106,10.51268751,5.4588,27.605339100106
"gdw3","g","d","w",3,96,7.96,20,52.5,46.57,3.02,221.51,0.68,10.4859602649007,10.41817609,4.8023,25.7064363549007
"gdw5","g","d","w",5,114,8.86,20,50,53.22,2.82,176.36,0.65,12.2670212765957,12.7920828,5.3417,30.4008040765957
"gdw6","g","d","w",6,60,5.7,12,35.5,24.48,2.26,169.78,0.51,5.52424778761062,4.460198641,2.0304,12.0148464286106
"geh10","g","e","h",10,89,7.72,21,40.5,42.39,1.51,113.68,0.36,10.1062251655629,10.91439803,8.0429,29.0635231955629
"geh2","g","e","h",2,81,8.38,23,39,47.73,2.03,140.47,0.46,10.8156650246305,11.03561215,11.0768,32.9280771746305
"geh5","g","e","h",5,117,8.52,19,51,47.69,2.07,159.69,0.42,9.67623188405797,11.76699721,5.4417,26.884929094058
"geh7","g","e","h",7,86.5,7.69,18,48,49.67,2.19,162.66,0.46,10.4329680365297,10.18515046,6.5322,27.1503184965297
"gew2","g","e","w",2,97,7.21,17,51,51.01,3.18,227.45,0.74,11.870251572327,11.29396682,22.8401,46.004318392327
"gew4","g","e","w",4,74.5,7.92,18,36,48.88,2.66,178.69,0.6,11.0255639097744,10.04833082,18.3885,39.4623947297744
"gew5","g","e","w",5,69,7.71,19,35.5,49.77,1.94,139.68,0.49,12.5707731958763,9.934637758,18.0938,40.5992109538763
"gew6","g","e","w",6,88,7.93,22,43,57.85,2.37,164.39,0.65,15.8660337552743,12.98766938,11.4475,40.3012031352743
"gew8","g","e","w",8,96.5,6,22,37.5,42.44,2.92,210.48,0.83,12.0634246575342,10.28059071,7.4387,29.7827153675342
"gfh2","g","f","h",2,122,8.42,24,42,55.86,2.58,205.47,0.56,12.1246511627907,13.92061475,8.795,34.8402659127907
"gfh3","g","f","h",3,63.5,9.3,19,38,51.84,2.24,161.98,0.59,13.6542857142857,11.06136475,7.4818,32.1974504642857
"gfh6","g","f","h",6,100,9.08,19,42,51.5,2.98,221.76,0.63,10.8875838926174,13.36846281,6.9061,31.1621467026174
"gfh8","g","f","h",8,108,9.45,23,43,60.53,2.13,163.12,0.48,13.6405633802817,13.42225575,8.1346,35.1974191302817
"gfh9","g","f","h",9,93,8.92,16,38.5,47.83,2.02,155.18,0.52,12.3126732673267,11.08398285,5.2,28.5966561173267
"gfw1","g","f","w",1,99,8.53,25,42,53.27,2.62,192.33,0.62,12.6058778625954,13.68932071,7.7713,34.0664985725954
"gfw10","g","f","w",10,91.5,9.09,22,34,58.7,2.91,182.88,0.65,13.1116838487973,12.80624653,9.4134,35.3313303787972
"gfw4","g","f","w",4,94.5,8.23,21,31,47.28,3.08,204.56,0.876,13.4471688311688,11.93408903,9.0547,34.4359578611688
"gfw6","g","f","w",6,127,8.75,24,42,56.68,3.11,214.09,0.84,15.3090675241158,14.60285238,6.6224,36.5343199041158
"gfw7","g","f","w",7,110,8.67,21,50,53.89,2.45,178.58,0.58,12.7576326530612,14.36553712,5.3615,32.4846697730612
"ggh1","g","g","h",1,85,8.67,22,42,46.04,2.59,211,0.71,12.6210038610039,11.62884796,10.1686,34.4184518210039
"ggh4","g","g","h",4,65,8.31,22,35,50.72,1.98,134.05,0.547,14.0120404040404,11.7262607,8.2055,33.9438011040404
"ggh6","g","g","h",6,58,7.74,16,30,50.1,2.56,166.68,0.77,15.069140625,9.275057022,8.776,33.120197647
"ggh7","g","g","h",7,85,7.37,17,43,53.46,3.27,264.52,0.767,12.5393944954128,9.655629669,5.7561,27.9511241644128
"ggh8","g","g","h",8,68,8.21,19,31,55.73,3.77,226.2,1.11,16.4085676392573,11.1048818,13.6401,41.1535494392573
"ggw1","g","g","w",1,100,6.85,22,38,52.94,2.87,202.15,0.78,14.3878745644599,12.84608012,7.5885,34.8224546844599
"ggw10","g","g","w",10,96,8.81,22,42,59.92,2.3,158.16,0.63,16.4128695652174,15.38120388,8.2649,40.0589734452174
"ggw6","g","g","w",6,101,7.52,22,48,60.24,3.04,214.06,0.76,15.06,14.31773779,6.6396,36.01733779
"ggw8","g","g","w",8,103,7.25,22,44,58.59,2.61,175.84,0.719,16.1403103448276,16.39463215,6.7378,39.2727424948276
"ghh1","g","h","h",1,127,6.79,25,42,49.24,2.09,165.02,0.55,12.9578947368421,13.87379977,9.4614,36.2930945068421
