Room,Prov,Pot,W_treatment,Code,Unit,Obs,HHMMSS,FTime,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
1,B,4,w,B-04,ROS1,1,11:33:18,854.5,24.64540288,1.653913157,359.098401,5.416526511,0.511237335,20.17556,6,1.420000017,1,2.840000033,19.31257629,20.17556,17.97374916,429.9714661,397.8011475,12.08623505,18.46805,54.16432571,82.76435852,499.8415527,1499.996094,1416.303101,100.7691193,3.806656599,0.565949202,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833069255,0.005416527,293.32556,292.4625763,239.9993696,-0.097938159,2.372246469,23.54140322,5.073353216,19.74406815,2.30967954,1.045216768,1.861009133,0.448670406,0.689751724,36.1860296,0.902708309,86.08844026,386.0859033,0.054953685
1,B,4,w,B-04,ROS1,2,11:34:54,950.5,21.63541969,1.335945028,362.1814424,4.960130697,0.538743896,20.03864288,6,1.420000017,1,2.840000033,19.29608727,20.03864288,17.98258591,430.0674133,401.7128601,12.15187073,17.99711037,54.51252747,80.73390198,499.9825134,1000.958435,1177.585815,100.7656479,3.612992048,0.542027235,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833304189,0.004960131,293.1886429,292.4460873,160.153346,-0.794556524,2.352234383,23.34361394,5.346503573,19.66736507,2.298710196,0.908556954,1.813490486,0.485219709,0.595220936,36.49544769,0.90159285,84.09489868,391.4284178,0.046481766
1,B,4,w,B-04,ROS1,3,11:36:24,1040.5,16.45859518,1.087839564,372.4170062,4.532523931,0.568824901,19.94841003,6,1.420000017,1,2.840000033,19.27310753,19.94841003,17.97485542,429.9933167,408.0184937,12.22364044,17.56839943,54.91333008,78.92405701,499.8797607,500.6934814,913.9247437,100.7662582,3.504746199,0.529152632,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833132935,0.004532524,293.09841,292.4231075,80.11095524,-1.515720124,2.339126774,23.2133932,5.644993775,19.61075878,2.290644209,0.786555642,1.770301874,0.520342335,0.511980476,37.52706822,0.912745407,82.05115,400.1948658,0.033744727
1,B,4,w,B-04,ROS1,4,11:38:00,1136.5,5.036378803,0.909053085,406.7748992,4.102246945,0.588257619,19.75854874,6,1.420000017,1,2.840000033,19.20781517,19.75854874,17.97747993,430.0020447,421.8802795,12.26460648,17.10389328,55.32198334,77.1505661,499.9186096,99.96653748,1248.744995,100.7664108,3.155503035,0.506247282,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833197683,0.004102247,292.9085487,292.3578152,15.99464564,-2.03850499,2.311755556,22.94172767,5.837834392,19.48318195,2.272556326,0.688630092,1.723497937,0.549058389,0.445937326,40.98924661,0.964195102,80.32990602,419.4862263,0.009644461
1,B,9,w,B-09,ROS1,5,11:57:15,2292,25.02378724,1.428345176,353.5234241,5.699767477,0.591028797,20.99747467,6,1.420000017,1,2.840000033,19.28879547,20.99747467,17.97420692,429.8096008,397.053833,12.19115925,18.90393639,54.70350647,84.82471466,499.8246765,1499.604858,146.0796509,100.7470474,3.819290876,0.59996295,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833041128,0.005699767,294.1474747,292.4387955,239.936772,-0.357328926,2.495544573,24.7703991,5.866462712,20.14313507,2.367493744,0.950368386,1.904515776,0.462977968,0.623997014,35.61644118,0.890366481,83.89016981,385.158723,0.054503498
1,B,9,w,B-09,ROS1,6,11:58:45,2381.5,21.70812335,1.303122163,360.5936281,5.237853108,0.578205177,20.55247879,6,1.420000017,1,2.840000033,19.23137283,20.55247879,17.97593498,429.7245178,401.1308899,12.18731689,18.36220741,54.8812027,82.68760681,499.6047668,1000.591431,142.6639862,100.7452469,3.611740828,0.582690001,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832674611,0.005237853,293.7024788,292.3813728,160.0946253,-1.015676188,2.428110297,24.10148738,5.739279968,19.89192581,2.330954247,0.893255572,1.849905119,0.481049128,0.584721879,36.32809409,0.898942558,83.32275387,390.8118877,0.046282641
1,B,9,w,B-09,ROS1,7,12:00:15,2471.5,16.04386748,1.147200011,374.6009307,4.686168436,0.565905253,20.0102005,6,1.420000017,1,2.840000033,19.16954231,20.0102005,17.97495079,429.714386,408.1595154,12.16493034,17.6906414,54.99006653,79.9683609,499.8379822,499.8354797,149.5065308,100.7419968,3.327225447,0.542385817,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833063304,0.004686168,293.1602005,292.3195423,79.97367497,-1.619347104,2.348095792,23.30801322,5.617371816,19.58987141,2.287674181,0.817126814,1.782190539,0.505483642,0.532738233,37.73804574,0.917780712,82.47437575,400.5330292,0.033036176
1,B,9,w,B-09,ROS1,8,12:01:45,2561.5,4.184606745,1.029968122,410.2913297,4.346240747,0.567614199,19.73947525,6,1.420000017,1,2.840000033,19.17726898,19.73947525,17.97700691,429.721344,422.494873,12.16012383,17.2864666,54.93980026,78.10076904,499.9013672,99.40444946,153.5271912,100.7381821,2.97486949,0.515156507,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833168945,0.004346241,292.8894753,292.327269,15.90471156,-2.169468646,2.309021419,22.92101536,5.634548761,19.45837212,2.269053357,0.755848468,1.74140722,0.527646137,0.491197617,41.33200267,0.971115523,81.58990017,420.5057114,0.008119311
1,B,14,w,B-14,ROS1,9,12:09:29,3026,22.42277178,1.221112258,356.7183348,5.050447947,0.58334465,20.2851429,6,1.420000017,1,2.840000033,19.21081352,20.2851429,17.97125435,429.6936035,400.3422241,11.96387959,17.91942024,53.93600082,80.7849884,499.6973877,1499.734253,737.2857666,100.7301559,3.449509382,0.541615248,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832828979,0.005050448,293.4351429,292.3608135,239.9574751,0.066764444,2.388370645,23.71058223,5.791161987,19.74797821,2.310239947,0.853943108,1.805025995,0.505213951,0.557825532,35.9322935,0.891033504,82.55656183,389.6835123,0.047503856
1,B,14,w,B-14,ROS1,10,12:10:59,3115.5,20.00386572,1.035425775,359.4423553,4.642049862,0.603663997,20.07441139,6,1.420000017,1,2.840000033,19.1844902,20.07441139,17.98294449,429.8522034,403.5942688,11.93624878,17.41078377,53.89955139,78.62046051,499.9030762,1001.027222,1108.949463,100.7297592,3.245926619,0.524363279,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833171794,0.00464205,293.2244114,292.3344902,160.1643519,-0.646070094,2.357448054,23.40368996,5.992906189,19.6294508,2.293304938,0.75878352,1.753784057,0.539520882,0.493181179,36.2065419,0.89060322,80.84392656,394.0853891,0.041036565
1,B,14,w,B-14,ROS1,11,12:12:29,3205.5,15.5124296,0.890776794,369.8194699,4.293364683,0.624942037,19.94089127,6,1.420000017,1,2.840000033,19.18947792,19.94089127,17.97319794,429.7058716,408.9751587,11.9405098,17.00706291,53.90134811,76.77256775,499.7891541,499.693573,1073.747437,100.7284698,3.132950544,0.501944304,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832981923,0.004293365,293.0908913,292.3394779,79.95096989,-1.401612314,2.33803746,23.21128737,6.204224462,19.56518459,2.284168253,0.678090982,1.713095424,0.571072829,0.438869927,37.25134933,0.904259005,79.23510896,401.6012926,0.030605705
