Prov,W_treatment,Code,Leafarea,Leafmass
B,d,B-60,42.69,0.374
B,d,B-54,45.22,0.399
B,d,B-46,46.76,0.44
B,d,B-49,51.94,0.496
B,d,B-59,48.98,0.395
B,d,B-55,31.47,0.223
B,d,B-50,53.4,0.374
B,d,B-51,55.64,0.387
B,d,B-70,47.91,0.323
B,d,B-67,33.32,0.167
B,d,B-69,36.05,0.279
B,d,B-73,37.37,0.26
B,d,B-61,36.09,0.361
B,d,B-66,40.16,0.261
B,d,B-74,26.3,0.147
B,d,B-64,42.99,0.314
B,d,B-23,40.19,0.343
B,d,B-16,61.72,0.473
B,d,B-19,50.92,0.438
B,d,B-18,48.17,0.386
B,d,B-21,63.03,0.711
B,d,B-17,73.72,0.606
B,d,B-24,47.89,0.246
B,d,B-26,54.98,0.35
B,d,B-87,20.15,0.159
B,d,B-84,16.08,0.149
B,d,B-80,19.56,0.186
B,d,B-89,26.47,0.205
B,d,B-78,41.74,0.293
B,d,B-86,20.79,0.15
B,d,B-90,28.33,0.209
B,d,B-88,26.46,0.166
B,d,B-14,59.34,0.525
B,d,B--3,29.29,0.296
B,d,B--7,48.31,0.536
B,d,B--1,48.33,0.568
B,d,B--9,37.9,0.331
B,d,B--4,64.08,0.442
B,d,B--2,37.73,0.238
B,d,B-13,57.8,0.345
B,d,B-33,49.15,0.613
B,d,B-38,48.93,0.439
B,d,B-39,50.43,0.399
B,d,B-32,58.73,0.486
B,d,B-45,36.17,0.295
B,d,B-34,65.26,0.54
B,d,B-37,68.43,0.512
B,d,B-42,46.4,0.448
B,w,B-56,70.45,0.479
B,w,B-59,80.32,0.5
B,w,B-48,79.02,0.471
B,w,B-47,65.09,0.358
B,w,B-58,47.52,0.267
B,w,B-53,75.83,0.405
B,w,B-49,62.81,0.366
B,w,B-54,86.77,0.587
B,w,B-61,64.35,0.481
B,w,B-69,59.8,0.373
B,w,B-71,40.77,0.255
B,w,B-73,51.86,0.331
B,w,B-63,40.77,0.252
B,w,B-70,40.03,0.271
B,w,B-74,31.81,0.182
B,w,B-64,60.64,0.417
B,w,B-22,49.98,0.38
B,w,B-24,76.98,0.705
B,w,B-29,50.44,0.326
B,w,B-20,65.1,0.455
B,w,B-18,74.82,0.549
B,w,B-23,61.88,0.454
B,w,B-27,55.18,0.299
B,w,B-28,72.73,0.367
B,w,B-84,22.02,0.143
B,w,B-88,34.31,0.218
B,w,B-80,24.45,0.191
B,w,B-82,16.33,0.092
B,w,B-83,30.44,0.194
B,w,B-79,26.14,0.197
B,w,B-76,23.94,0.198
B,w,B-85,57.2,0.396
B,w,B--6,33.05,0.277
B,w,B--2,42.77,0.297
B,w,B-14,48.82,0.344
B,w,B-15,30.56,0.221
B,w,B--9,45.28,0.405
B,w,B--4,32.05,0.219
B,w,B-10,38.64,0.294
B,w,B--1,39.03,0.249
B,w,B-43,53.9,0.413
B,w,B-41,79.63,0.515
B,w,B-42,65.48,0.424
B,w,B-33,83.15,0.752
B,w,B-40,67.97,0.543
B,w,B-32,61.54,0.401
B,w,B-45,62.43,0.315
B,w,B-35,55.1,0.407
