Date,Organ,Prov,Pot,W_treatment,Code,Unit,dCO2,Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
2016-02-17,stem,B,89,w,B-89,FACE3-waltz,-9.268035889,1,10:01:31,2711.5,0,-15.87939506,0.805471318,434.9087724,12.42290485,1.95439157,24.34431839,6,1.420000017,1,2.840000033,34.73717117,24.34431839,35.08246994,399.373291,408.6413269,0.402130216,10.94338608,0.728165805,19.81596756,699.3638916,0.322682947,623.8552246,100.7998352,-3.669068575,0.201018125,1,-0.219565243,2.737391472,1,0,0.159999996,111115,1.165606486,0.012422905,297.4943184,307.8871712,0.05162927,-5.022424113,3.057483083,30.33222304,19.38883696,29.54074478,4.149345898,0.627501453,1.103091513,3.046254384,0.405053614,43.83873259,1.064279954,49.15258983,416.1896308,-0.018753792
2016-02-17,stem,B,89,w,B-89,FACE3-waltz,-9.229370117,2,10:01:37,2718,0,-15.82731385,0.80411946,434.8015072,12.40472259,1.954095294,24.33536148,6,1.420000017,1,2.840000033,34.72811508,24.33536148,35.08370209,399.37677,408.6061401,0.405035764,10.93016815,0.733787894,19.80177116,699.4194336,0.334118724,629.3444214,100.7987595,-3.669068575,0.201018125,1,-0.219565243,2.737391472,1,0,0.159999996,111115,1.165699056,0.012404723,297.4853615,307.8781151,0.053458995,-5.013100963,3.055842684,30.31627274,19.38610459,29.53173828,4.147192526,0.626680683,1.10174739,3.045445135,0.404506449,43.82745253,1.064109088,49.11489456,416.1296871,-0.018680639
2016-02-17,stem,B,89,w,B-89,FACE3-waltz,-9.272491455,3,10:01:44,2724,0,-15.87165269,0.802090036,434.9789919,12.3928233,1.956094428,24.34367371,6,1.420000017,1,2.840000033,34.72234726,24.34367371,35.08728027,399.3383179,408.6108093,0.40906772,10.9252491,0.741342425,19.79953575,699.3467407,0.295984,631.6401367,100.800499,-3.669068575,0.201018125,1,-0.219565243,2.737391472,1,0,0.159999996,111115,1.165577901,0.012392823,297.4936737,307.8723473,0.047357439,-5.00887266,3.057364988,30.33085173,19.40560263,29.53301048,4.147496638,0.62544739,1.101270561,3.046226078,0.403684365,43.84609942,1.06453129,49.05957895,416.1554329,-0.018710716
2016-02-17,stem,B,89,w,B-89,FACE3-waltz,-9.185852051,4,10:01:50,2730.5,0,-15.76281262,0.802187768,434.6954883,12.37428596,1.953018507,24.3205719,6,1.420000017,1,2.840000033,34.71728134,24.3205719,35.09035492,399.3893738,408.5752258,0.413489312,10.91390419,0.749559641,19.78436089,699.3571777,0.302852273,628.5285645,100.7996063,-3.669068575,0.201018125,1,-0.219565243,2.737391472,1,0,0.159999996,111115,1.165595296,0.012374286,297.4705719,307.8672813,0.048456363,-4.996970398,3.053135752,30.28916346,19.37525927,29.51892662,4.144131053,0.625506814,1.100117246,3.044013807,0.403723973,43.81713409,1.063930118,49.07197506,416.068112,-0.018591003
2016-02-17,stem,B,89,w,B-89,FACE3-waltz,-9.157653809,5,10:01:56,2736,0,-15.72130546,0.79916041,434.6751673,12.35536394,1.955794781,24.32863617,6,1.420000017,1,2.840000033,34.71800613,24.32863617,35.09561157,399.4002991,408.5579529,0.415800154,10.90097809,0.753719985,19.76017761,699.3116455,0.422619581,633.4216919,100.7998276,-3.669068575,0.201018125,1,-0.219565243,2.737391472,1,0,0.159999996,111115,1.165519409,0.012355364,297.4786362,307.8680061,0.067619131,-4.987770199,3.054611493,30.30373728,19.40275919,29.52332115,4.145180948,0.623664614,1.098816712,3.046364236,0.402496195,43.81518191,1.06392536,48.98176979,416.0311086,-0.01850961
2016-02-17,stem,C,88,w,C-88,FACE3-waltz,-13.87481689,6,10:15:29,3550,0,-20.48861513,0.612345416,462.5831291,10.39528643,2.038205412,24.31361008,6,1.420000017,1,2.840000033,34.85108948,24.31361008,35.1075325,399.3806458,413.2554626,1.238448501,10.05613899,2.22842288,18.09468079,700.234375,0.279209435,225.8656158,100.7998047,-3.693482637,0.213669568,1,-0.219565243,2.737391472,1,0,0.159999996,111115,1.167057292,0.010395286,297.4636101,308.0010895,0.044673509,-3.941254754,3.051862258,30.27646996,20.22033097,29.58234978,4.159305928,0.503733195,1.013656846,3.145649082,0.323070597,46.62828906,1.119363616,43.9294584,422.994769,-0.02127813
2016-02-17,stem,C,88,w,C-88,FACE3-waltz,-14.05386353,7,10:15:36,3556.5,0,-20.6968754,0.611968979,463.2141319,10.38640731,2.037511868,24.30915451,6,1.420000017,1,2.840000033,34.85558701,24.30915451,35.10962677,399.1594543,413.2133179,1.246562362,10.05490112,2.242471457,18.08800697,700.3799438,0.331849337,231.1024017,100.8001556,-3.693482637,0.213669568,1,-0.219565243,2.737391472,1,0,0.159999996,111115,1.167299906,0.010386407,297.4591545,308.005587,0.053095893,-3.935264619,3.051047466,30.2682813,20.21338018,29.58237076,4.159310956,0.503478425,1.013535598,3.145775358,0.322902926,46.69205659,1.121004846,43.92772458,423.0516212,-0.021490679
2016-02-17,stem,C,88,w,C-88,FACE3-waltz,-13.88156128,8,10:15:42,3562.5,0,-20.48786193,0.610106353,462.7357392,10.37018199,2.039392806,24.31720352,6,1.420000017,1,2.840000033,34.85651016,24.31720352,35.10638809,399.3438721,413.2254333,1.255690813,10.05101299,2.258739471,18.07978439,700.3234863,0.293700933,231.5771027,100.7984695,-3.693482637,0.213669568,1,-0.219565243,2.737391472,1,0,0.159999996,111115,1.167205811,0.010370182,297.4672035,308.0065102,0.046992148,-3.927753863,3.052519533,30.28339167,20.23237868,29.58685684,4.160386147,0.502216995,1.013126727,3.14725942,0.322072814,46.64305431,1.119814275,43.87242007,422.9643817,-0.021251248
2016-02-17,stem,C,88,w,C-88,FACE3-waltz,-13.91778564,9,10:15:47,3568,0,-20.52554415,0.608901352,462.9619807,10.36088045,2.040870847,24.32557297,6,1.420000017,1,2.840000033,34.86034012,24.32557297,35.10202026,399.3251953,413.242981,1.263584614,10.05152035,2.272460938,18.07689667,700.2830811,0.183849037,231.4134674,100.7986832,-3.693482637,0.213669568,1,-0.219565243,2.737391472,1,0,0.159999996,111115,1.167138468,0.01036088,297.475573,308.0103401,0.029415845,-3.923607469,3.054050861,30.29851944,20.24699909,29.59295654,4.161848467,0.501400204,1.013180015,3.148668452,0.321535365,46.66595801,1.120314203,43.83984244,422.9998416,-0.021272741
2016-02-17,stem,C,88,w,C-88,FACE3-waltz,-13.96774292,10,10:15:52,3573,0,-20.57926906,0.608901021,463.1838968,10.34939573,2.038643387,24.31214142,6,1.420000017,1,2.840000033,34.86149597,24.31214142,35.09922791,399.3186646,413.2864075,1.270842671,10.0492115,2.285374403,18.07164001,700.270813,0.326499403,231.3058472,100.7989807,-3.693482637,0.213669568,1,-0.219565243,2.737391472,1,0,0.159999996,111115,1.167118022,0.010349396,297.4621414,308.011496,0.052239903,-3.915423222,3.051593663,30.27405279,20.22484128,29.5868187,4.160377003,0.50139998,1.012950276,3.147426727,0.321535217,46.68846468,1.120733439,43.85672701,423.0688064,-0.021333158
