Room,Prov,W_treatment,Pot,VWC
1,B,w,1,18.5
1,B,w,1,20.5
1,B,w,1,20.3
1,B,w,10,15.4
1,B,w,10,15.6
1,B,w,10,16.2
1,B,w,9,13.3
1,B,w,9,14.3
1,B,w,9,13.3
1,B,w,15,21.5
1,B,w,15,20.4
1,B,w,15,19
1,B,w,14,10.5
1,B,w,14,10.2
1,B,w,14,11.9
1,B,w,6,18.1
1,B,w,6,20.1
1,B,w,6,18.4
1,B,w,4,15.7
1,B,w,4,16.5
1,B,w,4,15.5
1,B,w,2,17.9
1,B,w,2,16.6
1,B,w,2,16.7
1,B,d,13,14
1,B,d,13,16.6
1,B,d,13,16.2
1,B,d,4,11.5
1,B,d,4,11.3
1,B,d,4,11.7
1,B,d,2,17.1
1,B,d,2,18.3
1,B,d,2,18.4
1,B,d,9,
1,B,d,1,15.1
1,B,d,1,14.7
1,B,d,1,13.9
1,B,d,3,14.1
1,B,d,3,15.1
1,B,d,3,13.7
1,B,d,7,13.9
1,B,d,7,11.2
1,B,d,7,10
1,B,d,14,9.9
1,B,d,14,11.9
1,B,d,14,14.2
2,B,w,18,10.8
2,B,w,18,8.6
2,B,w,23,22.7
2,B,w,23,25
2,B,w,22,10.1
2,B,w,22,6.3
2,B,w,27,9.6
2,B,w,27,8.9
2,B,w,28,8.2
2,B,w,28,9.2
2,B,w,24,12.9
2,B,w,24,13.4
2,B,w,29,9.2
2,B,w,29,8.7
2,B,w,20,10.9
2,B,w,20,11.1
2,B,d,24,7.3
2,B,d,24,8.5
2,B,d,26,4.7
2,B,d,26,4.7
2,B,d,21,7.1
2,B,d,21,8.1
2,B,d,17,6.2
2,B,d,17,7
2,B,d,19,4.2
2,B,d,19,6.7
2,B,d,18,3.9
2,B,d,18,4.3
2,B,d,23,6.6
2,B,d,23,5.8
2,B,d,16,8
2,B,d,16,7.4
3,B,w,40,21.4
3,B,w,40,22.7
3,B,w,41,21.6
3,B,w,41,22.6
3,B,w,43,8.8
3,B,w,43,9.4
3,B,w,35,30.2
3,B,w,35,27.9
3,B,w,42,19.3
3,B,w,42,17.3
3,B,w,33,12.5
3,B,w,33,14.1
3,B,w,45,11
3,B,w,45,13.8
3,B,w,32,19.5
3,B,w,32,18.73
3,B,d,42,7.4
3,B,d,42,7.6
3,B,d,37,6.2
3,B,d,37,8.7
3,B,d,34,7.5
3,B,d,34,6.7
3,B,d,32,7.3
3,B,d,32,7
3,B,d,45,7.4
3,B,d,45,6.9
3,B,d,33,6.7
3,B,d,33,6.3
3,B,d,38,5.3
3,B,d,38,11.9
3,B,d,39,5.8
3,B,d,39,5.6
4,B,w,54,16.3
4,B,w,54,16.4
4,B,w,49,15.6
4,B,w,49,18
4,B,w,53,16.7
4,B,w,53,18
4,B,w,58,24.5
4,B,w,58,20.8
4,B,w,48,10.8
4,B,w,48,13.3
4,B,w,47,11.3
4,B,w,47,14.1
4,B,w,56,18.4
4,B,w,56,17.2
4,B,w,59,23.2
4,B,w,59,26.7
4,B,d,51,5.7
4,B,d,51,5.1
4,B,d,50,5.2
4,B,d,50,4.1
4,B,d,55,4
4,B,d,55,4.9
4,B,d,59,4.9
4,B,d,59,3.4
4,B,d,46,6.6
4,B,d,46,5.7
4,B,d,49,4.9
4,B,d,49,5.1
4,B,d,54,6.4
4,B,d,54,4.9
4,B,d,60,4.3
4,B,d,60,4.9
5,B,w,71,14.5
5,B,w,71,15.9
5,B,w,69,10.3
5,B,w,69,15.5
5,B,w,61,17.6
5,B,w,61,14.6
5,B,w,64,15.2
5,B,w,64,15.6
5,B,w,74,14.6
5,B,w,74,16.1
5,B,w,70,21.6
5,B,w,70,20
5,B,w,63,7.3
5,B,w,63,7.8
5,B,w,73,22.8
5,B,w,73,23.4
5,B,d,73,9
5,B,d,73,7.3
5,B,d,69,7.5
5,B,d,69,5.7
5,B,d,70,6.2
5,B,d,70,6.2
5,B,d,67,5.4
5,B,d,67,6.2
5,B,d,61,7.2
5,B,d,61,6.9
5,B,d,66,5.3
5,B,d,66,4.2
5,B,d,64,7.9
5,B,d,64,8.7
5,B,d,74,5.8
6,B,d,84,19.7
6,B,d,84,24.1
6,B,w,88,21.3
6,B,w,88,21.9
6,B,w,79,23.5
6,B,w,79,19.4
6,B,w,80,19.4
6,B,w,80,18.3
6,B,w,76,25.6
6,B,w,76,26.6
6,B,w,75,12.3
6,B,w,75,11.9
6,B,w,82,24.5
6,B,w,82,24.9
6,B,w,83,11.3
6,B,w,83,12.3
6,B,d,87,6.7
6,B,d,87,7.7
6,B,d,89,7.4
6,B,d,89,8.9
6,B,d,80,9.4
6,B,d,80,7.2
6,B,d,84,7.9
6,B,d,84,9.2
6,B,d,78,5.6
6,B,d,78,4.7
6,B,d,86,6.7
6,B,d,86,7.7
6,B,d,88,4.9
6,B,d,88,4.5
6,B,d,90,6.4
6,B,d,90,8.7
