Room,Date,Leafarea,Leafmass,Stemmass,Rootmass,Leafarea_SE,Leafmass_SE,Stemmass_SE,Rootmass_SE
1,29/01/2016,0.004063333,0.11216,0.02512,0.07072,0.000979563,0.042709614,0.010170764,0.019333333
1,10/02/2016,0.015383333,0.4608,0.1392,0.2336,0.00103853,0.113578167,0.055075705,0.090615181
1,22/02/2016,0.040959333,0.78568,0.2922528,0.437872,0.003920386,0.179216165,0.075560272,0.098871463
2,29/01/2016,0.00633,0.13008,0.03472,0.07552,0.000979047,0.02251666,0.009955456,0.016230972
2,10/02/2016,0.036356667,0.7008,0.2816,0.3888,0.002325628,0.106926766,0.051747249,0.092915732
2,22/02/2016,0.0864256,1.5925216,0.78595968,0.65208,0.003765584,0.249103878,0.170815844,0.109010211
3,29/01/2016,0.012206667,0.21792,0.05952,0.10912,0.001451601,0.054040109,0.007937254,0.0296779
3,10/02/2016,0.056066667,1.2752,0.4464,0.5296,0.0077073,0.511022939,0.147309199,0.301404121
3,22/02/2016,0.116818867,2.50832,1.2463456,0.9019104,0.005911309,0.296366799,0.115905138,0.112785888
4,29/01/2016,0.015233333,0.27648,0.08896,0.10368,0.003228438,0.100400863,0.031545382,0.026514147
4,10/02/2016,0.069396667,1.5056,0.656,0.4864,0.0081067,0.385155091,0.307480803,0.21865752
4,22/02/2016,0.137723507,2.875808,1.63406144,0.93576704,0.006512193,0.32044938,0.257816915,0.109356835
5,29/01/2016,0.01348,0.30368,0.11392,0.07488,0.003309325,0.111092054,0.044393443,0.041356176
5,10/02/2016,0.05345,1.048,0.7248,0.408,0.00802515,0.287885008,0.332315112,0.19857828
5,22/02/2016,0.1135262,2.4187072,1.55464,0.7099264,0.008765525,0.426353657,0.244507029,0.091559743
6,29/01/2016,0.012333333,0.22336,0.1128,0.08016,0.001234342,0.058641093,0.035557465,0.016502525
6,10/02/2016,0.03464,0.7632,0.4944,0.2432,0.0091521,0.31214313,0.224796204,0.115662344
6,22/02/2016,0.064634143,1.455144,1.068754286,0.382523657,0.004764805,0.235975038,0.180281697,0.108240821
1,8/01/2016,0.002447547,0.030672,0.011616,0.023376,0.000168061,0.00509346,0.001752109,0.003175752
2,8/01/2016,0.002447547,0.030672,0.011616,0.023376,0.000168061,0.00509346,0.001752109,0.003175752
3,8/01/2016,0.002447547,0.030672,0.011616,0.023376,0.000168061,0.00509346,0.001752109,0.003175752
4,8/01/2016,0.002447547,0.030672,0.011616,0.023376,0.000168061,0.00509346,0.001752109,0.003175752
5,8/01/2016,0.002447547,0.030672,0.011616,0.023376,0.000168061,0.00509346,0.001752109,0.003175752
6,8/01/2016,0.002447547,0.030672,0.011616,0.023376,0.000168061,0.00509346,0.001752109,0.003175752
