"chamber","Date","campaign","T_treatment","HHMMSS","FTime","Ebal","Code","Tofit","Photo","Cond","Ci","Trmmol","VpdL","CTleaf","Area","BLC_1","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","PARi","PARo","Press","CsMch","HsMch","StableF","BLCslope","BLCoffst","f_parin","f_parout","alphaK","Status","fda","Trans","Tair_K","Twall_K","R.W.m2.","Tl.Ta","SVTleaf","h2o_i","h20diff","CTair","SVTair","CndTotal","vp_kPa","VpdA","CndCO2","Ci_Pa","Ci.Ca","RHsfc","C2sfc","AHs.Cs"
"C01","2013-07-05",1,"ambient","10:01:27",1838.5,0,1,0,18.33505534,0.23270722,257.2444278,1.88815882,0.860685793,24.8756218,6,1.420000017,1,2.840000033,23.53281784,24.8756218,23.31686974,419.5765381,396.6961365,20.56774139,22.77993584,71.17472076,78.83002472,500.447876,1800.387207,598.2167969,100.7680511,2.27549386,0.147991151,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.834079793,0.001888159,298.0256218,296.6828178,288.0619467,2.246357043,3.156175532,31.32119254,8.541256708,24.20421982,3.031912888,0.215083462,2.29548974,0.736423149,0.13590674,25.92201966,0.648467187,74.09459571,387.9805293,0.035015379
"C01","2013-07-05",1,"ambient","10:01:30",1841.5,0,1,0,18.41864443,0.232999419,256.7222076,1.894540907,0.862600206,24.87932968,6,1.420000017,1,2.840000033,23.53653526,24.87932968,23.31439018,419.6200256,396.6361084,20.54802895,22.76776695,71.09088135,78.77059937,500.4391785,1800.513794,598.0137939,100.7685013,2.27549386,0.147991151,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.834065297,0.001894541,298.0293297,296.6865353,288.0822006,2.243245317,3.156873959,31.32798364,8.560216686,24.20793247,3.032588087,0.215333054,2.294273753,0.738314334,0.13606619,25.8695121,0.647248705,74.04525858,387.880767,0.035160632
"C01","2013-07-05",1,"ambient","10:01:34",1845,0,1,0,18.45267252,0.233039386,256.434543,1.898144321,0.864125509,24.87817192,6,1.420000017,1,2.840000033,23.53850555,24.87817192,23.31574631,419.6079407,396.5823364,20.52620125,22.75013351,71.00796509,78.70139313,500.4544373,1800.453979,598.8887329,100.7699738,2.27549386,0.147991151,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.834090729,0.001898144,298.0281719,296.6885056,288.0726303,2.241671726,3.156655866,31.3253616,8.575228084,24.20833874,3.03266198,0.21536719,2.292530357,0.740131623,0.136087998,25.84090216,0.646611105,73.99817627,387.8108197,0.035209541
"C01","2013-07-05",1,"ambient","10:01:37",1849,0,1,0,18.42901165,0.233044505,256.6250901,1.903554267,0.866568124,24.88256645,6,1.420000017,1,2.840000033,23.54846382,24.88256645,23.3177433,419.6109009,396.6106567,20.50392342,22.73426628,70.8878479,78.59877777,500.4463806,1800.502197,599.3192749,100.7692795,2.27549386,0.147991151,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.834077301,0.001903554,298.0325665,296.6984638,288.0803451,2.239656804,3.157483757,31.33379312,8.599526844,24.21551514,3.03396751,0.215371561,2.290915633,0.743051877,0.136090791,25.85992542,0.647045372,73.93165714,387.8503872,0.0351292
"C01","2013-07-05",1,"ambient","10:01:41",1853,0,1,1,18.46998444,0.232927032,256.1689247,1.909085223,0.869496716,24.88781929,6,1.420000017,1,2.840000033,23.55181122,24.88781929,23.3197403,419.5833435,396.531189,20.47809029,22.71499062,70.78437042,78.51641846,500.4390259,1800.500122,599.5822144,100.7694397,2.27549386,0.147991151,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.834065043,0.001909085,298.0378193,296.7018112,288.0800131,2.236483127,3.158473593,31.34356609,8.628575477,24.21981525,3.034750022,0.215271227,2.288976877,0.745773145,0.136026692,25.81399901,0.646024655,73.8508837,387.7514429,0.03517781
"C01","2013-07-05",1,"ambient","10:04:55",2046,0,1,1,-0.319778231,0.214238443,53.09245951,1.858062485,0.914503131,24.99001122,6,1.420000017,1,2.840000033,23.14634705,24.99001122,22.30536652,51.05215073,51.32124329,20.28236961,22.46025276,71.84418488,79.55867004,500.393219,1799.577881,607.8610229,100.7682953,2.088054895,0.146921128,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833988698,0.001858062,298.1400112,296.296347,287.9324545,2.193307072,3.177784514,31.53555892,9.075306163,24.06817913,3.007262432,0.199210766,2.263281383,0.743981049,0.125774954,5.350036637,1.03451234,72.49812025,51.47325054,-0.004503955
"C01","2013-07-05",1,"ambient","10:06:24",2134.5,0,1,1,2.414324602,0.231761419,76.66280461,1.892360405,0.865982913,24.84550858,6,1.420000017,1,2.840000033,23.04825974,24.84550858,22.33472252,98.81174469,95.69967651,20.45211601,22.66973114,72.88082123,80.78326416,500.3919067,1799.11084,608.9768677,100.7742615,2.294605494,0.140838593,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833986511,0.00189236,297.9955086,296.1982597,287.8577279,2.181447871,3.150508327,31.2630257,8.593294562,23.94688416,2.985431836,0.214275245,2.284525413,0.700906422,0.135390446,7.725637517,0.801076946,73.88249399,94.55202223,0.018865416
"C01","2013-07-05",1,"ambient","10:07:54",2224.5,0,1,1,5.4520977,0.254929351,104.0384391,1.998560497,0.837550438,24.8902874,6,1.420000017,1,2.840000033,23.17906189,24.8902874,22.53227234,149.4312439,142.5526428,20.69426918,23.0353241,73.1633606,81.4400177,500.4213257,1800.065186,576.546875,100.7751541,2.446674585,0.135290116,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.834035543,0.00199856,298.0402874,296.3290619,288.0104232,2.138946317,3.158938774,31.34640479,8.311080693,24.03467464,3.001218408,0.233930818,2.321388336,0.679830072,0.147958694,10.48448973,0.729824695,74.99022861,139.9609767,0.029212003
"C01","2013-07-05",1,"ambient","10:09:24",2314.5,0,1,1,10.07568857,0.278497163,151.427139,2.108012471,0.814769956,24.86148834,6,1.420000017,1,2.840000033,23.16433907,24.86148834,22.5320282,229.216217,216.5892487,20.7388916,23.20750427,73.38656616,82.12198639,500.4650879,1800.363403,576.1304932,100.7753601,2.600910425,0.137618989,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.83410848,0.002108012,298.0114883,296.3143391,288.0581381,2.08433733,3.153514556,31.29251587,8.085011602,24.0129137,2.997298546,0.253625995,2.3387446,0.658553946,0.160577676,15.26012446,0.699144302,75.81133396,211.7997489,0.036064792
"C01","2013-07-05",1,"ambient","10:10:54",2404.5,0,1,1,15.84520868,0.310019423,218.087951,2.337131173,0.819713266,24.8576889,6,1.420000017,1,2.840000033,23.37493324,24.8576889,22.92869949,330.8908997,310.9973145,20.41058159,23.15119171,71.31240082,80.88779449,499.8209229,1801.324463,578.9367676,100.7760773,2.531391382,0.134550065,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833034871,0.002337131,298.0076889,296.5249332,288.2119076,1.994962421,3.152799551,31.2851982,8.134006486,24.11631107,3.015963793,0.279507852,2.333086285,0.682877508,0.177199357,21.9780482,0.701253486,75.90342746,303.4652611,0.0396324
