"chamber","Date","campaign","T_treatment","HHMMSS","FTime","Ebal","Code","Tofit","Photo","Cond","Ci","Trmmol","VpdL","CTleaf","Area","BLC_1","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","PARi","PARo","Press","CsMch","HsMch","StableF","BLCslope","BLCoffst","f_parin","f_parout","alphaK","Status","fda","Trans","Tair_K","Twall_K","R.W.m2.","Tl.Ta","SVTleaf","h2o_i","h20diff","CTair","SVTair","CndTotal","vp_kPa","VpdA","CndCO2","Ci_Pa","Ci.Ca","RHsfc","C2sfc","AHs.Cs","Curve","age_of_plant"
"C01",2013-07-05,1,"Ambient","10:01:41",1853,0,1,1,18.46998444,0.232927032,256.1689247,1.909085223,0.869496716,24.88781929,6,1.420000017,1,2.840000033,23.55181122,24.88781929,23.3197403,419.5833435,396.531189,20.47809029,22.71499062,70.78437042,78.51641846,500.4390259,1800.500122,599.5822144,100.7694397,2.27549386,0.147991151,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.834065043,0.001909085,298.0378193,296.7018112,288.0800131,2.236483127,3.158473593,31.34356609,8.628575477,24.21981525,3.034750022,0.215271227,2.288976877,0.745773145,0.136026692,25.81399901,0.646024655,73.8508837,387.7514429,0.03517781,1,115.041666666667
"C01",2013-07-05,1,"Ambient","10:04:55",2046,0,1,1,-0.319778231,0.214238443,53.09245951,1.858062485,0.914503131,24.99001122,6,1.420000017,1,2.840000033,23.14634705,24.99001122,22.30536652,51.05215073,51.32124329,20.28236961,22.46025276,71.84418488,79.55867004,500.393219,1799.577881,607.8610229,100.7682953,2.088054895,0.146921128,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833988698,0.001858062,298.1400112,296.296347,287.9324545,2.193307072,3.177784514,31.53555892,9.075306163,24.06817913,3.007262432,0.199210766,2.263281383,0.743981049,0.125774954,5.350036637,1.03451234,72.49812025,51.47325054,-0.004503955,1,115.041666666667
"C01",2013-07-05,1,"Ambient","10:06:24",2134.5,0,1,1,2.414324602,0.231761419,76.66280461,1.892360405,0.865982913,24.84550858,6,1.420000017,1,2.840000033,23.04825974,24.84550858,22.33472252,98.81174469,95.69967651,20.45211601,22.66973114,72.88082123,80.78326416,500.3919067,1799.11084,608.9768677,100.7742615,2.294605494,0.140838593,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833986511,0.00189236,297.9955086,296.1982597,287.8577279,2.181447871,3.150508327,31.2630257,8.593294562,23.94688416,2.985431836,0.214275245,2.284525413,0.700906422,0.135390446,7.725637517,0.801076946,73.88249399,94.55202223,0.018865416,1,115.041666666667
"C01",2013-07-05,1,"Ambient","10:07:54",2224.5,0,1,1,5.4520977,0.254929351,104.0384391,1.998560497,0.837550438,24.8902874,6,1.420000017,1,2.840000033,23.17906189,24.8902874,22.53227234,149.4312439,142.5526428,20.69426918,23.0353241,73.1633606,81.4400177,500.4213257,1800.065186,576.546875,100.7751541,2.446674585,0.135290116,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.834035543,0.00199856,298.0402874,296.3290619,288.0104232,2.138946317,3.158938774,31.34640479,8.311080693,24.03467464,3.001218408,0.233930818,2.321388336,0.679830072,0.147958694,10.48448973,0.729824695,74.99022861,139.9609767,0.029212003,1,115.041666666667
"C01",2013-07-05,1,"Ambient","10:09:24",2314.5,0,1,1,10.07568857,0.278497163,151.427139,2.108012471,0.814769956,24.86148834,6,1.420000017,1,2.840000033,23.16433907,24.86148834,22.5320282,229.216217,216.5892487,20.7388916,23.20750427,73.38656616,82.12198639,500.4650879,1800.363403,576.1304932,100.7753601,2.600910425,0.137618989,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.83410848,0.002108012,298.0114883,296.3143391,288.0581381,2.08433733,3.153514556,31.29251587,8.085011602,24.0129137,2.997298546,0.253625995,2.3387446,0.658553946,0.160577676,15.26012446,0.699144302,75.81133396,211.7997489,0.036064792,1,115.041666666667
"C01",2013-07-05,1,"Ambient","10:10:54",2404.5,0,1,1,15.84520868,0.310019423,218.087951,2.337131173,0.819713266,24.8576889,6,1.420000017,1,2.840000033,23.37493324,24.8576889,22.92869949,330.8908997,310.9973145,20.41058159,23.15119171,71.31240082,80.88779449,499.8209229,1801.324463,578.9367676,100.7760773,2.531391382,0.134550065,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833034871,0.002337131,298.0076889,296.5249332,288.2119076,1.994962421,3.152799551,31.2851982,8.134006486,24.11631107,3.015963793,0.279507852,2.333086285,0.682877508,0.177199357,21.9780482,0.701253486,75.90342746,303.4652611,0.0396324,1,115.041666666667
"C01",2013-07-05,1,"Ambient","10:12:24",2494.5,0,1,1,20.55868729,0.300266285,271.5929233,2.303289408,0.831557197,24.85810852,6,1.420000017,1,2.840000033,23.40451431,24.85810852,22.92277527,421.2662659,395.5238953,20.33622551,23.03427887,70.92639923,80.33636475,500.4129639,1801.366821,579.4557495,100.7768173,2.413990259,0.139125794,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.834021606,0.002303289,298.0081085,296.5545143,288.218685,2.016607868,3.15287851,31.28575196,8.251473094,24.13131142,3.018680071,0.271555395,2.321321314,0.697358757,0.172087481,27.37027042,0.686666284,75.48141844,385.7512799,0.040227964,1,115.041666666667
"C01",2013-07-05,1,"Ambient","10:14:29",2620.5,0,1,1,29.01392689,0.291260819,433.4842281,2.295903766,0.852105959,24.92826271,6,1.420000017,1,2.840000033,23.54122162,24.92826271,23.11866188,650.5278931,614.0502319,20.270401,22.95995712,70.12138367,79.42536163,500.4223328,1799.31311,581.6434326,100.7840652,1.668445826,0.141946763,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.834037221,0.002295904,298.0782627,296.6912216,287.8900912,2.025114398,3.166103775,31.41472581,8.454768683,24.23474216,3.037467712,0.264168581,2.313997817,0.723469895,0.167342941,43.68830273,0.705942618,74.90782313,600.2584007,0.036207242,1,115.041666666667
"C01",2013-07-05,1,"Ambient","10:16:35",2745.5,0,1,1,32.63887853,0.27127551,737.9771621,2.186275824,0.865542532,25.03236961,6,1.420000017,1,2.840000033,23.58660889,25.03236961,23.11551094,999.7047729,958.0574951,20.46060753,23.02171898,70.58766937,79.42331696,500.3946228,1798.739624,566.2216797,100.7864151,0.052173853,0.147678345,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833991038,0.002186276,298.1823696,296.7366089,287.7983334,2.072983514,3.185819058,31.60960785,8.587888869,24.30948925,3.051108674,0.247622702,2.320276525,0.730832148,0.156728581,74.37807259,0.770284838,74.50381184,942.5425354,0.025799588,1,115.041666666667
"C01",2013-07-05,1,"Ambient","10:18:40",2870.5,0,1,1,33.56635454,0.251897285,913.7225569,2.093924791,0.88715405,25.1127224,6,1.420000017,1,2.840000033,23.61190605,25.1127224,23.11406517,1201.095215,1157.944458,20.50612831,22.95896339,70.63706207,79.08629608,500.4454956,1800.110596,565.2756958,100.7865677,-1.070384741,0.155666322,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.834075826,0.002093925,298.2627224,296.7619061,288.0176889,2.116092907,3.201109168,31.76126781,8.802304414,24.36231422,3.06078123,0.23137518,2.313955118,0.746826112,0.146323126,92.09096033,0.789090142,73.82782821,1141.988621,0.021700138,1,115.041666666667
