Room,Date,leafarea_p,Intercept,Slope,sigma
1,7/01/2016,23.45147764,0.901737425,-0.023599071,
1,8/01/2016,24.25486435,0.901737425,-0.023599071,0.901682082
1,9/01/2016,25.0266633,0.901737425,-0.023599071,0.901680186
1,10/01/2016,25.79200154,0.901737425,-0.023599071,0.901678365
1,11/01/2016,26.57600616,0.901737425,-0.023599071,0.901676559
1,12/01/2016,27.40380421,0.901737425,-0.023599071,0.901674709
1,13/01/2016,28.30052278,0.901737425,-0.023599071,0.901672755
1,14/01/2016,29.29128891,0.901737425,-0.023599071,0.901670639
1,15/01/2016,30.40122969,0.901737425,-0.023599071,0.901668301
1,16/01/2016,31.65547218,0.901737425,-0.023599071,0.901665681
1,17/01/2016,33.07914344,0.901737425,-0.023599071,0.901662721
1,18/01/2016,34.69737056,0.901737425,-0.023599071,0.901659362
1,19/01/2016,36.53426453,0.901737425,-0.023599071,0.901655543
1,20/01/2016,38.60987214,0.901737425,-0.023599071,0.901651208
1,21/01/2016,40.94322412,0.901737425,-0.023599071,0.90164631
1,22/01/2016,43.55335119,0.901737425,-0.023599071,0.901640803
1,23/01/2016,46.45928408,0.901737425,-0.023599071,0.901634644
1,24/01/2016,49.68005351,0.901737425,-0.023599071,0.901627786
1,25/01/2016,53.23469021,0.901737425,-0.023599071,0.901620185
1,26/01/2016,57.14222491,0.901737425,-0.023599071,0.901611796
1,27/01/2016,61.42168834,0.901737425,-0.023599071,0.901602575
1,28/01/2016,66.09211121,0.901737425,-0.023599071,0.901592476
1,29/01/2016,71.1771091,0.901737425,-0.023599071,0.901581454
1,30/01/2016,76.71863701,0.901737425,-0.023599071,0.901569454
1,31/01/2016,82.76323478,0.901737425,-0.023599071,0.901556377
1,1/02/2016,89.35744224,0.901737425,-0.023599071,0.901542112
1,2/02/2016,96.54779923,0.901737425,-0.023599071,0.90152655
1,3/02/2016,104.3808456,0.901737425,-0.023599071,0.901509582
1,4/02/2016,112.9031212,0.901737425,-0.023599071,0.901491096
1,5/02/2016,122.1611658,0.901737425,-0.023599071,0.901470985
1,6/02/2016,132.2015194,0.901737425,-0.023599071,0.901449136
1,7/02/2016,143.0707216,0.901737425,-0.023599071,0.901425442
1,8/02/2016,154.8153125,0.901737425,-0.023599071,0.901399792
1,9/02/2016,167.4810581,0.901737425,-0.023599071,0.901372076
1,10/02/2016,181.1106298,0.901737425,-0.023599071,0.901342186
1,11/02/2016,195.7459252,0.901737425,-0.023599071,0.901310021
1,12/02/2016,211.4288422,0.901737425,-0.023599071,0.901275483
1,13/02/2016,228.2012783,0.901737425,-0.023599071,0.901238473
1,14/02/2016,246.1051313,0.901737425,-0.023599071,0.901198892
1,15/02/2016,265.1822988,0.901737425,-0.023599071,0.90115664
1,16/02/2016,285.4746785,0.901737425,-0.023599071,0.90111162
1,17/02/2016,307.0241681,0.901737425,-0.023599071,0.901063732
1,18/02/2016,329.8726653,0.901737425,-0.023599071,0.901012877
1,19/02/2016,354.0620678,0.901737425,-0.023599071,0.900958957
1,20/02/2016,379.6342733,0.901737425,-0.023599071,0.900901872
1,21/02/2016,406.6311794,0.901737425,-0.023599071,0.900841524
1,22/02/2016,435.0946839,0.901737425,-0.023599071,0.900777814
1,23/02/2016,465.0666844,0.901737425,-0.023599071,0.900710642
1,24/02/2016,496.5890786,0.901737425,-0.023599071,0.900639911
1,25/02/2016,529.7037642,0.901737425,-0.023599071,0.900565521
1,26/02/2016,564.4526389,0.901737425,-0.023599071,0.900487374
1,27/02/2016,600.8776004,0.901737425,-0.023599071,0.90040537
1,28/02/2016,639.0205463,0.901737425,-0.023599071,0.90031941
1,29/02/2016,678.9233744,0.901737425,-0.023599071,0.900229396
1,1/03/2016,720.6279822,0.901737425,-0.023599071,0.900135229
