Species,DataSet,Season,Temp_Treatment,Tavg_30,JVr,JVr_SE
Acer pseudoplatanus,DREYER,No_Seasonal_Measurements,No_Temperature_Treatments,17.3,2.055538751,0.211476897
Amazon spp,RF_AMZ,dry,No_Temperature_Treatments,27.8,1.642307532,0.171146587
Amazon spp,RF_AMZ,wet,No_Temperature_Treatments,25.8,1.477733847,0.085641864
Arctic spp,ARCTIC,No_Seasonal_Measurements,No_Temperature_Treatments,NA,2.655882524,0.260736794
ASAW spp,GWW,No_Seasonal_Measurements,No_Temperature_Treatments,21.99570408,1.833857,0.082566118
Betula papyrifera,DILLAWAY,Illinois,No_Temperature_Treatments,30.6,2.158107906,0.093016365
Betula papyrifera,DILLAWAY,northernWisconsin,No_Temperature_Treatments,18.7,1.882668357,0.043994726
Betula papyrifera,DILLAWAY,southernWisconsin,No_Temperature_Treatments,22.5,2.078248793,0.092956962
Betula pendula,DREYER,No_Seasonal_Measurements,No_Temperature_Treatments,17.3,1.839069148,0.04264539
Betula pendula,WANG_ET_AL,No_Seasonal_Measurements,No_Temperature_Treatments,14,1.011274085,0.088257892
Carapa procera,RF_MON,No_Seasonal_Measurements,No_Temperature_Treatments,19.38,2.234111528,0.039658494
Chamaecyparis obtusa,HAN_ET_AL_A,Apr,No_Temperature_Treatments,12,2.852007536,NA
Chamaecyparis obtusa,HAN_ET_AL_A,Oct,No_Temperature_Treatments,15.2,2.230664232,NA
Corymbia calophylla_CD,MIKE_ASPINWALL,No_Seasonal_Measurements,26,19,1.738342675,0.030873111
Corymbia calophylla_CD,MIKE_ASPINWALL,No_Seasonal_Measurements,32,25,1.655869048,0.068043935
Corymbia calophylla_CW,MIKE_ASPINWALL,No_Seasonal_Measurements,26,19,1.865937907,0.059166786
Corymbia calophylla_CW,MIKE_ASPINWALL,No_Seasonal_Measurements,32,25,1.76801251,0.016691997
Corymbia calophylla_WD,MIKE_ASPINWALL,No_Seasonal_Measurements,26,19,1.678315413,0.057396948
Corymbia calophylla_WD,MIKE_ASPINWALL,No_Seasonal_Measurements,32,25,1.821357747,0.075069749
Corymbia calophylla_WW,MIKE_ASPINWALL,No_Seasonal_Measurements,26,19,1.735554147,0.070492689
Corymbia calophylla_WW,MIKE_ASPINWALL,No_Seasonal_Measurements,32,25,1.543973618,0.066474475
Entandrophragma excelsum,RF_MON,No_Seasonal_Measurements,No_Temperature_Treatments,19.38,2.230757597,0.152148695
Eucalyptus cladocalyx,HFE_CG,August,No_Temperature_Treatments,8.890489919,2.532805306,0.194707603
Eucalyptus cladocalyx,HFE_CG,November,No_Temperature_Treatments,18.49464583,1.654584454,0.056412466
Eucalyptus cladocalyx,HFE_CG,February,No_Temperature_Treatments,25.31909274,1.643898706,0.046868564
Eucalyptus crebra,HFE_CG,August,No_Temperature_Treatments,8.890489919,2.262748608,0.238736503
Eucalyptus crebra,HFE_CG,February,No_Temperature_Treatments,25.31909274,1.571616392,0.097032554
Eucalyptus crebra,HFE_CG,November,No_Temperature_Treatments,18.49464583,1.495507125,0.070315936
Eucalyptus delegatensis,TMB,No_Seasonal_Measurements,No_Temperature_Treatments,11.78,2.193659761,0.047393308
Eucalyptus dunnii,HFE_CG,February,No_Temperature_Treatments,25.31909274,1.320139208,0.107643028
Eucalyptus dunnii,HFE_CG,November,No_Temperature_Treatments,18.49464583,1.652817346,0.10800673
Eucalyptus dunnii,HFE_CG,August,No_Temperature_Treatments,8.890489919,2.169736059,0.147400005
Eucalyptus globulus,RF_MON,No_Seasonal_Measurements,No_Temperature_Treatments,19.38,1.937249456,0.094017184
Eucalyptus globulus,WTC2,December,Ambient,19.71846345,1.726520525,0.025904846
Eucalyptus globulus,WTC2,December,Elevated,22.69994638,1.76744459,0.076394246
Eucalyptus globulus,WTC2,February,Ambient,24.9363077,1.613548914,0.12622634
Eucalyptus globulus,WTC2,February,Elevated,27.65274696,1.407665133,0.15415213
Eucalyptus globulus,WTC2,September,Ambient,11.56159039,1.882232202,0.121460285
Eucalyptus globulus,WTC2,September,Elevated,14.55349608,1.939699284,0.124368261
Eucalyptus melliodora,HFE_CG,August,No_Temperature_Treatments,8.890489919,2.082645463,0.1010754
Eucalyptus melliodora,HFE_CG,November,No_Temperature_Treatments,18.49464583,1.470514487,0.055592528
