"Room","Vcmax25","Jmax25","Date"
1,60.201478036728,130.035192559332,2016-02-03
2,89.582365519135,170.122396755461,2016-02-03
3,112.953398169484,200.605235149003,2016-02-03
4,147.297350675889,240.094681601699,2016-02-03
5,160.521864504439,240.894179274887,2016-02-03
6,172.958558965312,247.330739320396,2016-02-03
1,77.0372711269153,166.400505634137,2016-02-26
2,46.3848865880325,88.0877395216893,2016-02-26
3,69.8571013425985,124.066211984455,2016-02-26
4,82.9457553110321,135.201581156982,2016-02-26
5,100.622333407054,151.003319688864,2016-02-26
6,136.417249345418,195.076666563948,2016-02-26
1,60.9334690406492,131.616293127802,2016-02-04
2,87.704214261261,166.555672527906,2016-02-04
3,111.079646133532,197.277451533153,2016-02-04
4,144.499455225243,235.534112017146,2016-02-04
5,157.917537065423,236.985881032016,2016-02-04
6,171.369806373143,245.058823113594,2016-02-04
1,61.6654600445704,133.197393696272,2016-02-05
2,85.826063003387,162.98894830035,2016-02-05
3,109.205894097581,193.949667917303,2016-02-05
4,141.701559774597,230.973542432593,2016-02-05
5,155.313209626406,233.077582789145,2016-02-05
6,169.781053780973,242.786906906792,2016-02-05
1,62.3974510484915,134.778494264742,2016-02-06
2,83.947911745513,159.422224072795,2016-02-06
3,107.332142061629,190.621884301453,2016-02-06
4,138.903664323951,226.41297284804,2016-02-06
5,152.708882187389,229.169284546275,2016-02-06
6,168.192301188804,240.51499069999,2016-02-06
1,63.1294420524127,136.359594833212,2016-02-07
2,82.0697604876389,155.85549984524,2016-02-07
3,105.458390025678,187.294100685603,2016-02-07
4,136.105768873305,221.852403263488,2016-02-07
5,150.104554748372,225.260986303404,2016-02-07
6,166.603548596635,238.243074493188,2016-02-07
1,63.8614330563339,137.940695401681,2016-02-08
2,80.1916092297649,152.288775617685,2016-02-08
3,103.584637989726,183.966317069753,2016-02-08
4,133.307873422659,217.291833678935,2016-02-08
5,147.500227309356,221.352688060534,2016-02-08
6,165.014796004466,235.971158286386,2016-02-08
1,64.5934240602551,139.521795970151,2016-02-09
2,78.3134579718909,148.722051390129,2016-02-09
3,101.710885953775,180.638533453904,2016-02-09
4,130.509977972013,212.731264094382,2016-02-09
5,144.895899870339,217.444389817663,2016-02-09
6,163.426043412296,233.699242079584,2016-02-09
1,65.3254150641763,141.102896538621,2016-02-10
2,76.4353067140169,145.155327162574,2016-02-10
3,99.837133917823,177.310749838054,2016-02-10
4,127.712082521367,208.170694509829,2016-02-10
5,142.291572431322,213.536091574793,2016-02-10
6,161.837290820127,231.427325872782,2016-02-10
1,66.0574060680975,142.683997107091,2016-02-11
2,74.5571554561429,141.588602935019,2016-02-11
