"Case.rm6to4","biomass.rm6to4","mass.diff.rm6to4"
"Baseline",3.76211454333659,3.76211454333659
"VPD",3.86866962333883,0.106555080002247
"Tempearature",7.49832274069667,3.73620819736008
"SLA",1.54465849078868,-2.21745605254791
"Vcmax and Jmax",16.4205224288577,12.6584078855211
"Ea and Deltas",2.22368248311317,-1.53843206022342
"g[1]",4.4886805132896,0.726565969953012
"alpha and theta",2.63367389860527,-1.12844064473132
"Respiration",4.71696435318827,0.954849809851682
"allocations",10.5800776061367,6.81796306280015
"Y",2.17703504839347,-1.58507949494311
"k",2.52311489504512,-1.23899964829147
