"Pot","Prov","Code","Height","D1","D2","Leafarea","Leafno","Leafmass","Stemmass","Rootmass","Date","Room","D"
65,"B","B-65",31.5,1.75,1.81,111.5,16,0.421,0.189,0.101,2016-01-29,5,1.78
30,"A","A-30",16.5,1.55,1.63,59.3,12,0.271,0.069,0.125,2016-01-29,2,1.59
4,"C","C-04",12.5,1.21,1.28,26.9,10,0.165,0.036,0.128,2016-01-29,1,1.245
8,"A","A-08",15,1.19,1.17,35.4,10,0.224,0.05,0.128,2016-01-29,1,1.18
71,"C","C-71",22,2.1,2.1,92.8,12,0.68,0.197,0.13,2016-01-29,5,2.1
78,"B","B-78",29.5,1.8,1.78,122.6,16,0.461,0.196,0.134,2016-01-29,6,1.79
34,"C","C-34",20,1.89,1.75,101,12,0.363,0.109,0.169,2016-01-29,3,1.82
21,"C","C-21",15,1.53,1.56,48.7,10,0.232,0.057,0.171,2016-01-29,2,1.545
25,"B","B-25",16,1.59,1.62,81.9,16,0.31,0.091,0.176,2016-01-29,2,1.605
56,"C","C-56",25.5,2.08,1.88,119.6,17,0.52,0.17,0.181,2016-01-29,4,1.98
82,"C","C-82",29,1.92,1.91,102.33,20,0.366,0.203,0.183,2016-01-29,6,1.915
78,"A","A-78",31,2.13,2.2,145.07,14,0.569,0.306,0.184,2016-01-29,6,2.165
13,"B","B-13",14,1.65,1.72,59.6,10,0.312,0.071,0.186,2016-01-29,1,1.685
89,"C","C-89",44.5,4.12,4.15,337.19,22,1.9334,1.07,0.1921,2016-02-18,6,4.135
50,"B","B-50",20.5,2.2,2.27,120.5,12,0.437,0.14,0.199,2016-01-29,4,2.235
70,"A","A-70",37.5,2.04,2.08,200.1,16,0.797,0.326,0.237,2016-01-29,5,2.06
31,"B","B-31",23,1.62,1.65,115.3,14,0.449,0.127,0.247,2016-01-29,3,1.635
32,"A","A-32",20,1.91,1.95,149.9,14,0.55,0.136,0.266,2016-01-29,3,1.93
48,"A","A-48",27,2.46,2.44,216.9,18,0.771,0.246,0.268,2016-01-29,4,2.45
85,"C","C-85",38.4,2.53,2.62,181,18,1.1,0.59,0.28,2016-02-10,6,2.575
5,"B","B-05",22.5,2.23,2.03,133.8,16,0.78,0.19,0.31,2016-02-10,1,2.13
86,"B","B-86",54.5,2.78,2.76,450.7,49,1.8691,1.3958,0.3219,2016-02-23,6,2.77
89,"B","B-89",51.5,3.24,3.15,351,28,1.6571,1.4367,0.33904,2016-02-17,6,3.195
12,"B","B-12",31.5,3.59,3.98,286.4,18,0.8387,0.3625,0.3398,2016-02-23,1,3.785
7,"B","B-07",29,3.15,3.15,266.61,20,0.8298,0.3276,0.4113,2016-02-24,1,3.15
72,"B","B-72",50,3.18,3.19,403.9,24,1.64,0.95,0.48,2016-02-10,5,3.185
90,"B","B-90",60,4.12,4.09,761.98,53,3.7294,2.2804,0.5283,2016-02-18,6,4.105
5,"C","C-05",26.8,2.66,2.51,159.1,24,0.93,0.3,0.54,2016-02-10,1,2.585
85,"A","A-85",56.7,2.91,2.88,361.2,37,1.5,1.17,0.58,2016-02-10,6,2.895
81,"B","B-81",65.6,4.09,4.11,638.83,22,2.7877,2.5586,0.5834,2016-02-19,6,4.1
60,"B","B-60",49.3,3.35,3.12,613.3,21,2.38,0.79,0.59,2016-02-10,4,3.235
13,"A","A-13",27.7,2.55,2.52,168.6,28,1.17,0.38,0.61,2016-02-10,1,2.535
19,"B","B-19",34.6,2.89,2.81,342.7,37,1.32,0.54,0.66,2016-02-10,2,2.85
87,"B","B-87",59.5,3.07,3.03,497,21,2.17,1.33,0.66,2016-02-10,6,3.05
3,"C","C-03",28,3.12,3.08,387.6,16,1.3368,0.3852,0.6668,2016-02-17,1,3.1
11,"B","B-11",25.5,4.22,3.89,308.11,12,0.9835,0.4145,0.6798,2016-02-17,1,4.055
3,"A","A-03",36.4,3.78,3.92,398.34,29,1.5087,0.7028,0.6819,2016-02-18,1,3.85
31,"A","A-31",40.7,3.55,3.64,433.9,24,1.78,0.64,0.69,2016-02-10,3,3.595
1,"C","C-01",34.5,2.85,2.8,485.13,23,1.6112,0.5725,0.6987,2016-02-23,1,2.825
88,"A","A-88",56.5,3.96,3.87,643.18,71,2.9021,2.5253,0.7112,2016-02-18,6,3.915
76,"A","A-76",75.5,4.48,4.05,792.98,79,3.4752,2.9165,0.7305,2016-02-23,6,4.265
18,"A","A-18",38.6,3.38,3.25,338,23,1.39,0.53,0.79,2016-02-10,2,3.315
88,"C","C-88",63,3.66,3.66,513.7,16,2.4654,1.486,0.7905,2016-02-17,6,3.66
23,"C","C-23",45.1,4.23,3.94,702.9,29,2.5063,0.9068,0.7987,2016-02-18,2,4.085
3,"B","B-03",33.2,3.58,3.34,426.45,16,1.6731,0.4316,0.8166,2016-02-18,1,3.46
8,"B","B-08",32,3.7,3.82,273.76,23,1.878,0.5738,0.8449,2016-02-22,1,3.76
29,"A","A-29",46,3.62,3.84,678.8,20,2.0478,3.3951,0.8484,2016-02-19,2,3.73
2,"A","A-02",40,3.43,3.5,497.57,18,1.98,0.8603,0.8582,2016-02-23,1,3.465
66,"B","B-66",86,4.24,4.32,947.45,41,4.2926,3.4385,0.8907,2016-02-23,5,4.28
7,"C","C-07",24,3.19,3.28,318.01,20,1.3192,0.3663,0.8999,2016-02-18,1,3.235
74,"C","C-74",64,4.06,4.06,519,26,2.29,1.48,0.91,2016-02-10,5,4.06
40,"C","C-40",49.5,3.18,3.15,548.1,28,2.64,1.03,0.93,2016-02-10,3,3.165
77,"C","C-77",71.5,3.42,3.58,562.3,23,2.2364,1.9865,0.9372,2016-02-24,6,3.5
83,"C","C-83",77,4,4.19,715.1,29,3.3628,2.4242,0.9555,2016-02-19,6,4.095
87,"A","A-87",66,4.28,4.21,808.2,97,3.8291,2.1998,0.9582,2016-02-24,6,4.245
25,"C","C-25",49.5,4,4.17,811.6,42,2.5041,1.2958,0.9649,2016-02-19,2,4.085
28,"C","C-28",42.7,3.58,3.6,410,20,1.67,0.69,0.98,2016-02-10,2,3.59
1,"A","A-01",31.5,3.75,3.93,410.84,20,1.3664,0.549,1.0044,2016-02-17,1,3.84
