Date,Room,GPP,R_leaf,R_stem,R_root,R_leaf_se,R_stem_se,R_root_se,LA,LA_SE,Leafmass,Leafmass_SE,Stemmass,Stemmass_SE,Rootmass,Rootmass_SE
8/01/2016,1,0.015212386,0.057517049,0.035566008,0.034093317,0.000521777,0.00039225,0.000470989,0.002727574,0.000125564,0.058586592,0.002746455,0.014281819,0.000832076,0.026726043,0.001100673
17/01/2016,1,0.020539384,0.042535485,0.034975584,0.033527341,0.000521777,0.00039225,0.000470989,0.003395521,0.00022448,0.107766138,0.006191573,0.023157297,0.001646685,0.057135989,0.002837167
15/01/2016,1,0.0156665,0.044473602,0.034220074,0.032803114,0.000521777,0.00039225,0.000470989,0.003247088,0.000202499,0.09683735,0.005425991,0.021184969,0.001465661,0.050378223,0.002451279
24/01/2016,1,0.019004723,0.045496976,0.033925345,0.03252059,0.000521777,0.00039225,0.000470989,0.005353421,0.000334402,0.152536393,0.008149468,0.036364491,0.002399227,0.088864846,0.004178487
22/01/2016,1,0.01240865,0.044917085,0.033977631,0.032570711,0.000521777,0.00039225,0.000470989,0.004725527,0.000301425,0.139434439,0.007624433,0.032290814,0.00217855,0.079414855,0.003795695
11/01/2016,1,0.020631478,0.049950244,0.034749435,0.033310557,0.000521777,0.00039225,0.000470989,0.002950223,0.000158536,0.074979774,0.003894828,0.017240311,0.001103612,0.036862691,0.001679504
9/01/2016,1,0.012563476,0.054320598,0.035428465,0.033961469,0.000521777,0.00039225,0.000470989,0.00280179,0.000136555,0.064050986,0.003129246,0.015267983,0.000922588,0.030104926,0.001293616
18/01/2016,1,0.02458823,0.041315834,0.035864136,0.034379101,0.000521777,0.00039225,0.000470989,0.003469737,0.000235471,0.113230532,0.006574363,0.024143462,0.001737197,0.060514872,0.003030111
16/01/2016,1,0.017243567,0.04371264,0.034483419,0.033055555,0.000521777,0.00039225,0.000470989,0.003321304,0.00021349,0.102301744,0.005808782,0.022171133,0.001556173,0.053757106,0.002644223
25/01/2016,1,0.01862969,0.046145989,0.033967084,0.0325606,0.000521777,0.00039225,0.000470989,0.005667369,0.000350891,0.15908737,0.008411985,0.038401329,0.002509566,0.093589842,0.004369883
23/01/2016,1,0.028808107,0.045602961,0.034415703,0.032990644,0.000521777,0.00039225,0.000470989,0.005039474,0.000317914,0.145985416,0.00788695,0.034327653,0.002288889,0.084139851,0.003987091
12/01/2016,1,0.016930091,0.049272157,0.034415353,0.032990307,0.000521777,0.00039225,0.000470989,0.003024439,0.000169527,0.080444168,0.004277618,0.018226476,0.001194124,0.040241574,0.001872448
10/01/2016,1,0.017289928,0.053086064,0.033331264,0.031951108,0.000521777,0.00039225,0.000470989,0.002876007,0.000147546,0.06951538,0.003512037,0.016254147,0.0010131,0.033483808,0.00148656
19/01/2016,1,0.026886857,0.042248645,0.035734781,0.034255102,0.000521777,0.00039225,0.000470989,0.003783684,0.000251959,0.119781509,0.006836881,0.0261803,0.001847535,0.065239868,0.003221507
28/01/2016,1,0.041106521,0.047264406,0.034353636,0.032931146,0.000521777,0.00039225,0.000470989,0.006609211,0.000400356,0.178740301,0.009199537,0.044511843,0.002840581,0.107764829,0.004944072
