"Room","Prov","sla","sla_SE","Date"
1,"Mean",0.0541935743586389,0.00288776816937627,2016-02-21
2,"Mean",0.0562637385576504,0.00222945915235442,2016-02-21
3,"Mean",0.047091414211261,0.00135561831268591,2016-02-21
4,"Mean",0.04832852465822,0.00137905392584605,2016-02-21
5,"Mean",0.0477684762792257,0.00221172121690477,2016-02-21
6,"Mean",0.0441931920319246,0.00117514786963666,2016-02-21
1,"Mean",0.0355619207181707,0.00213874240372898,2016-01-29
2,"Mean",0.048119897894613,0.00350141562891242,2016-01-29
3,"Mean",0.0560816140414743,0.00133613661046022,2016-01-29
4,"Mean",0.0546574072425184,0.00338703156141967,2016-01-29
5,"Mean",0.0453043537019899,0.00847709214115174,2016-01-29
6,"Mean",0.0555895713938193,0.00148438501590114,2016-01-29
1,"Mean",0.0337997426707104,0.00188939294185663,2016-02-10
2,"Mean",0.0519649765127111,0.00107070477758314,2016-02-10
3,"Mean",0.0450389430485421,0.0029403112048213,2016-02-10
4,"Mean",0.046774989541615,0.00476302264738234,2016-02-10
5,"Mean",0.0508811829691974,0.00200408487527764,2016-02-10
6,"Mean",0.0440540078201368,0.00493783287303014,2016-02-10
